text,code,tags
"(f) (1) In the event of a breach of login credentials under subparagraph (B) of subdivision (2) of subsection (a) of this section, notice to a resident may be provided in electronic or other form that directs the resident whose personal information was breached or is reasonably believed to have been breached to promptly change any password or security question and answer, as applicable, or to take other appropriate steps to protect the affected online account and all other online accounts for which the resident uses the same user name or electronic mail address and password or security question and answer.
(2) Any person that furnishes an electronic mail account shall not comply with this section by providing notification to the electronic mail account that was breached or reasonably believed to have been breached if the person cannot reasonably verify the affected resident's receipt of such notification. In such an event, the person shall provide notice by another method described in this section or by clear and conspicuous notice delivered to the resident online when the resident is connected to the online account from an Internet protocol address or online location from which the person knows the resident customarily accesses the account.","s = Section(sectionNumber=""(f)"")
s1 = Section(""(1)"")
s.add_subsection(s1)
r1 = Rule(s1, Expression(s1, ""notice to a resident""))
r1.rule_type = Rule.PERMISSION
r1.description = Expression(s1, ""may be provided in electronic or other form that directs the resident whose personal information was breached or is reasonably believed to have been breached to promptly change any password or security question and answer, as applicable, or to take other appropriate steps to protect the affected online account and all other online accounts for which the resident uses the same user name or electronic mail address and password or security question and answer"")
e=Expression(s1, ""In the event of a breach of login credentials under subparagraph (B) of subdivision (2) of subsection (a) of this section"")
ref1=Reference(s1, ""subparagraph (B) of subdivision (2) of subsection (a) of this section"", target=r1)
r1.add_follows(ref1)
r1.conditions.append(e)

s2 = Section(""(2)"")
s.add_subsection(s2)
r2 = Rule(s2, Expression(s2, ""Any person that furnishes an electronic mail account""))
r2.rule_type = Rule.PROHIBITION
r2.description = Expression(s2, ""comply with this section by providing notification to the electronic mail account that was breached or reasonably believed to have been breached"")
r2.conditions.append(Expression(s2, ""the person cannot reasonably verify the affected resident's receipt of such notification""))
r2.add_refines(r1)

r3 = Rule(s2, Expression(s2, ""the person""))
r3.rule_type=Rule.OBLIGATION
r3.description = Expression(s2, ""provide notice by another method described in this section or by clear and conspicuous notice delivered to the resident online when the resident is connected to the online account from an Internet protocol address or online location from which the person knows the resident customarily accesses the account"")
r3.add_refines(r2)","['#obligation', '#permission', '#condition', '#refines', '#prohibition', '#follows', '#reference']"
"Section 2. (a) The department of consumer affairs and business regulation shall adopt regulations relative to any person that owns or licenses personal information about a resident of the commonwealth. Such regulations shall be designed to safeguard the personal information of residents of the commonwealth and shall be consistent with the safeguards for protection of personal information set forth in the federal regulations by which the person is regulated. The objectives of the regulations shall be to: insure the security and confidentiality of customer information in a manner fully consistent with industry standards; protect against anticipated threats or hazards to the security or integrity of such information; and protect against unauthorized access to or use of such information that may result in substantial harm or inconvenience to any consumer. The regulations shall take into account the person's size, scope and type of business, the amount of resources available to such person, the amount of stored data, and the need for security and confidentiality of both consumer and employee information.","section2 = Section(sectionNumber=""Section 2."")

section2a = Section(sectionNumber=""(a)"")
section2.add_subsection(section2a)

r = Rule(section2a, Expression(section2a, ""The department of consumer affairs and business regulation""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(section2a, ""shall adopt regulations relative to any person that owns or licenses personal information about a resident of the commonwealth"")

r1=Rule(section2a, Expression(section2a, ""Such regulations""))
r1.rule_type = Rule.OBLIGATION
r1.description=Expression(section2a, ""shall be designed to safeguard the personal information of residents of the commonwealth and shall be consistent with the safeguards for protection of personal information set forth in the federal regulations by which the person is regulated"")
r1.add_refines(r)

r2 = Rule(section2a, Expression(section2a, ""The objectives of the regulations:""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(section2a, ""shall be to:"")
r2.description.includes.append(Expression(section2a, ""insure the security and confidentiality of customer information in a manner fully consistent with industry standards""))
r2.description.includes.append(Expression(section2a, ""protect against anticipated threats or hazards to the security or integrity of such information""))
r2.description.includes.append(Expression(section2a, ""protect against unauthorized access to or use of such information that may result in substantial harm or inconvenience to any consumer""))
r2.add_refines(r1)

r3 = Rule(section2a, Expression(section2a, ""The regulations""))
r3.rule_type = Rule.OBLIGATION
r3.description = Expression(section2a, ""shall take into account the person's size, scope and type of business, the amount of resources available to such person, the amount of stored data, and the need for security and confidentiality of both consumer and employee information"")
r3.add_refines(r1)","['#refines', '#obligation', '#continuation']"
"(a) A person or business that conducts business in California, and that owns or licenses computerized data that includes personal information, shall disclose a breach of the security of the system following discovery or notification of the breach in the security of the data to a resident of California (1) whose unencrypted personal information was, or is reasonably believed to have been, acquired by an unauthorized person, or, (2) whose encrypted personal information was, or is reasonably believed to have been, acquired by an unauthorized person and the encryption key or security credential was, or is reasonably believed to have been, acquired by an unauthorized person and the person or business that owns or licenses the encrypted information has a reasonable belief that the encryption key or security credential could render that personal information readable or usable. The disclosure shall be made in the most expedient time possible and without unreasonable delay, consistent with the legitimate needs of law enforcement, as provided in subdivision (c), or any measures necessary to determine the scope of the breach and restore the reasonable integrity of the data system.","s = Section(sectionNumber=""(a)"")
r1 = Rule(s, Expression(s, ""A person or business that conducts business in California, and that owns or licenses computerized data that includes personal information""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(s, ""shall disclose a breach of the security of the system following discovery or notification of the breach in the security of the data to a resident of California"")
s1 = Section(sectionNumber=""(1)"")
s.add_subsection(s1)
r1.conditions.append(Expression(s, ""whose unencrypted personal information was, or is reasonably believed to have been, acquired by an unauthorized person""))
s2 = Section(sectionNumber=""(2)"")
s.add_subsection(s2)
r1.conditions.append(Expression(s, ""whose encrypted personal information was, or is reasonably believed to have been, acquired by an unauthorized person and the encryption key or security credential was, or is reasonably believed to have been, acquired by an unauthorized person and the person or business that owns or licenses the encrypted information has a reasonable belief that the encryption key or security credential could render that personal information readable or usable""))

r2 = Rule(s, Expression(s, ""The disclosure""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(s, ""shall be made in the most expedient time possible and without unreasonable delay"")
r2.conditions.append(Expression(s, ""consistent with the legitimate needs of law enforcement, as provided in subdivision (c), or any measures necessary to determine the scope of the breach and restore the reasonable integrity of the data system""))
r2.add_refines(r1)
ref1=Reference(s, ""subdivision (c)"", target=r2)
r2.add_follows(ref1)","['#obligation', '#follows', '#condition', '#refines', '#reference']"
"Section 2. (b) The supervisor of records, with the advice and consent of the information technology division to the extent of its jurisdiction to set information technology standards under paragraph (d) of section 4A of chapter 7, shall establish rules or regulations designed to safeguard the personal information of residents of the commonwealth that is owned or licensed. Such rules or regulations shall be applicable to: (1) executive offices and any agencies, departments, boards, commissions and instrumentalities within an executive office; and (2) any authority created by the General Court, and the rules and regulations shall take into account the size, scope and type of services provided thereby, the amount of resources available thereto, the amount of stored data, and the need for security and confidentiality of both consumer and employee information. The objectives of the rules or regulations shall be to: insure the security and confidentiality of personal information; protect against anticipated threats or hazards to the security or integrity of such information; and to protect against unauthorized access to or use of such information that could result in substantial harm or inconvenience to any resident of the commonwealth.","s = Section(sectionNumber=""2"")
s_b = Section(""(b)"")
s.add_subsection(s_b) 

rule_expression = Expression(s_b, ""The supervisor of records"")
r = Rule(s_b, rule_expression)
r.conditions.append(Expression(s_b, ""with the advice and consent of the information technology division to the extent of its jurisdiction to set information technology standards under paragraph (d) of section 4A of chapter 7""))
r.rule_type = Rule.OBLIGATION 
r.description = Expression(s_b, ""shall establish rules or regulations designed to safeguard the personal information of residents of the commonwealth that is owned or licensed"")
ref1=Reference(s_b, ""paragraph (d) of section 4A of chapter 7"", r)
r.add_follows(ref1)

applicability_expression = Expression(s_b, ""Such rules or regulations"")
r2 = Rule(s_b, applicability_expression)
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(s_b, ""shall be applicable to:"")
s_b1= Section(""(1)"")
s_b.add_subsection(s_b1)
r2.description.includes.append(Expression(s_b1, ""executive offices and any agencies, departments, boards, commissions and instrumentalities within an executive office""))
s_b2= Section(""(2)"")
s_b.add_subsection(s_b2)
r2.description.includes.append(Expression(s_b2, ""any authority created by the General Court, and the rules and regulations shall take into account the size, scope and type of services provided thereby, the amount of resources available thereto, the amount of stored data, and the need for security and confidentiality of both consumer and employee information""))
r2.add_refines(r)

objectives_expression = Expression(s_b, ""The objectives of the rules or regulations"")
r3 = Rule(s_b, objectives_expression)
r3.rule_type = Rule.OBLIGATION
r3.description = Expression(s_b, ""shall be to:"")
r3.description.includes.append(Expression(s_b, ""insure the security and confidentiality of personal information; protect against anticipated threats or hazards to the security or integrity of such information""))
r3.description.includes.append(Expression(s_b, ""to protect against unauthorized access to or use of such information that could result in substantial harm or inconvenience to any resident of the commonwealth""))
r3.add_refines(r)","['#continuation', '#refines', '#obligation', '#follows', '#reference']"
"§14–3502.;(b)
When a business is destroying a customer's records that contain personal information of the customer, the business shall take reasonable steps to protect against unauthorized access to or use of the personal information, taking into account:
(1) The sensitivity of the records;
(2) The nature and size of the business and its operations;
(3) The costs and benefits of different destruction methods; and
(4) Available technology.","s = Section(sectionNumber=""§14–3502"")
sb = Section(""(b)"")
s.add_subsection(sb)
r = Rule(sb, Expression(sb, ""the business""))
r.conditions.append(Expression(sb, ""When a business is destroying a customer's records that contain personal information of the customer""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(sb, ""shall take reasonable steps to protect against unauthorized access to or use of the personal information taking into account:"")
sb1 = Section(""(1)"")
sb.add_subsection(sb1)
c1 = Expression(sb1, ""The sensitivity of the records"")
r.description.includes.append(c1)
sb2 = Section(""(2)"")
sb.add_subsection(sb2)
c2 = Expression(sb2, ""The nature and size of the business and its operations"")
r.description.includes.append(c2)
sb3 = Section(""(3)"")
sb.add_subsection(sb3)
c3 = Expression(sb3, ""The costs and benefits of different destruction methods"")
r.description.includes.append(c3)
sb4 = Section(""(4)"")
sb.add_subsection(sb4)
c4 = Expression(sb4, ""Available technology"")
r.description.includes.append(c4)","['#condition', '#continuation', '#obligation']"
"(d) Any notification required by this section shall be delayed for a reasonable period of time if a law enforcement agency determines that the notification will impede a criminal investigation and such law enforcement agency has made a request that the notification be delayed. Any such delayed notification shall be made after such law enforcement agency determines that notification will not compromise the criminal investigation and so notifies the person of such determination.
","sd = Section(""(d)"")
r = Rule(sd, Expression(sd, ""Any notification required by this section""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(sd, ""shall be delayed for a reasonable period of time"")
r.conditions.append(Expression(sd, ""a law enforcement agency determines that the notification will impede a criminal investigation and such law enforcement agency has made a request that the notification be delayed""))
r2 = Rule(sd, Expression(sd, ""Any such delayed notification""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(sd, ""shall be made"")
r2.conditions.append(Expression(sd, ""after such law enforcement agency determines that notification will not compromise the criminal investigation and so notifies the person of such determination""))
r2.add_follows(r)","['#condition', '#obligation', '#follows']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
'Personal information'' a resident's first name and last name or first initial and last name in combination with any 1 or more of the following data elements that relate to such resident:
(a) Social Security number;
(b) driver's license number or state-issued identification card number; or
(c) financial account number, or credit or debit card number, with or without any required security code, access code, personal identification number or password, that would permit access to a resident's financial account; provided, however, that ''Personal information'' shall not include information that is lawfully obtained from publicly available information, or from federal, state or local government records lawfully made available to the general public.","s1 = Section(sectionNumber=""Section 1"", sectionTitle="""")

sa = Section(""(a)"")
s1.add_subsection(sa)

e_personal_info = Expression(section=sa, text=(""Personal information""))

d_personal_info = Definition(sa, defined_term=e_personal_info)

d_meaning_exp = Expression(sa, ""a resident's first name and last name or first initial and last name in combination with any 1 or more of the following data elements that relate to such resident:"")
d_personal_info.meaning.append(d_meaning_exp)

sa_a = Section(""(a)"")
sa.add_subsection(sa_a)
e_ssn = Expression(sa_a, ""Social Security number"")
sa_b = Section(""(b)"")
sa.add_subsection(sa_b)
e_dl = Expression(sa_b, ""driver's license number or state-issued identification card number"")
sa_c = Section(""(c)"")
sa.add_subsection(sa_c)
e_financial = Expression(sa, ""financial account number, or credit or debit card number, with or without any required security code, access code, personal identification number or password, that would permit access to a resident's financial account"")

d_meaning_exp.includes.extend([e_ssn, e_dl, e_financial])

e_exclusion = Expression( sa, (""information that is lawfully obtained from publicly available information, or from federal, state or local government records lawfully made available to the general public""))

d_personal_info.exclusions.append(e_exclusion)","['#exclusion', '#continuation', '#definition']"
"4-110-103. Definitions.
(4) ""Individual"" means a natural person;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s4 = Section(""(4)"")
s.add_subsection(s4)
d = Definition(s4, Expression(s4, ""Individual""))
d.meaning.append(Expression(s4, ""a natural person""))",['#definition']
"4-110-103. Definitions.
(5) ""Medical information"" means any individually identifiable information, in electronic or physical form, regarding the individual's medical history or medical treatment or diagnosis by a healthcare professional;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s5 = Section(""(5)"")
s.add_subsection(s5)
d = Definition(s5, Expression(s5, ""Medical information""))
d.meaning.append(Expression(s5, ""any individually identifiable information, in electronic or physical form, regarding the individual's medical history or medical treatment or diagnosis by a healthcare professional""))",['#definition']
"4-110-103. Definitions.
(3) ""Customer"" means an individual who provides personal information to a business for the purpose of purchasing or leasing a product or obtaining a service from the business;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s_3 = Section(""(3)"")
s.add_subsection(s_3)
d = Definition(s_3, Expression(s_3, ""Customer""))
d.meaning.append(Expression(s_3, ""an individual who provides personal information to a business for the purpose of purchasing or leasing a product or obtaining a service from the business""))",['#definition']
