text,code,tags
"(a) For purposes of this section, (1) ""breach of security"" means unauthorized access to or unauthorized acquisition of electronic files, media, databases or computerized data, containing personal information when access to the personal information has not been secured by encryption or by any other method or technology that renders the personal information unreadable or unusable;","sa = Section(""(a)"")
i=Information(sa, Expression(sa, ""For purposes of this section""))
sa1=Section(""(1)"")
sa.add_subsection(sa1)
d1 = Definition(sa1, Expression(sa1, ""breach of security""))
d1.meaning.append(Expression(sa1, ""unauthorized access to or unauthorized acquisition of electronic files, media, databases or computerized data, containing personal information when access to the personal information has not been secured by encryption or by any other method or technology that renders the personal information unreadable or unusable""))","['#condition', '#definition', '#information']"
"(a) (2) ""personal information"" means an individual's (a) first name or first initial and last name in combination with any one, or more, of the following data: (i) Social Security number; (ii) taxpayer identification number; (iii) identity protection personal identification number issued by the Internal Revenue Service; (iv) driver's license number, state identification card number, passport number, military identification number or other identification number issued by the government that is commonly used to verify identity; (v) credit or debit card number; (vi) financial account number in combination with any required security code, access code or password that would permit access to such financial account; (vii) medical information regarding an individual's medical history, mental or physical condition, or medical treatment or diagnosis by a health care professional; (viii) health insurance policy number or subscriber identification number, or any unique identifier used by a health insurer to identify the individual; (ix) biometric information consisting of data generated by electronic measurements of an individual's unique physical characteristics used to authenticate or ascertain the individual's identity, such as a fingerprint, voice print, retina or iris image; or (x) precise geolocation data, as defined in section 42-515; or (B) user name or electronic mail address, in combination with a password or security question and answer that would permit access to an online account. ""Personal information"" does not include publicly available information that is lawfully made available to the general public from federal, state or local government records or widely distributed media.","s_a = Section(""(a)"")
s_a2 = Section(""(2)"")
s_a.add_subsection(s_a2)
d = Definition(s_a2, Expression(s_a2, ""personal information""))
s_a2a = Section(""(a)"")
s_a2.add_subsection(s_a2a)
e = Expression(s_a2a, ""an individual's first name or first initial and last name in combination with any one, or more, of the following data:"")
d.meaning.append(e)
s_a2ai = Section(""(i)"")
s_a2a.add_subsection(s_a2ai)
e.includes.append(Expression(s_a2ai, ""Social Security number""))
s_a2aii = Section(""(ii)"")
s_a2a.add_subsection(s_a2aii)
e.includes.append(Expression(s_a2aii, ""taxpayer identification number""))
s_a2aiii = Section(""(iii)"")
s_a2a.add_subsection(s_a2aiii)
e.includes.append(Expression(s_a2aiii, ""identity protection personal identification number issued by the Internal Revenue Service""))
s_a2aiv = Section(""(iv)"")
s_a2a.add_subsection(s_a2aiv)
e.includes.append(Expression(s_a2aiv, ""driver's license number, state identification card number, passport number, military identification number or other identification number issued by the government that is commonly used to verify identity""))
s_a2av = Section(""(v)"")
s_a2a.add_subsection(s_a2av)
e.includes.append(Expression(s_a2av, ""credit or debit card number""))
s_a2avi = Section(""(vi)"")
s_a2a.add_subsection(s_a2avi)
e.includes.append(Expression(s_a2avi, ""financial account number in combination with any required security code, access code or password that would permit access to such financial account""))
s_a2avii = Section(""(vii)"")
s_a2a.add_subsection(s_a2avii)
e.includes.append(Expression(s_a2avii, ""medical information regarding an individual's medical history, mental or physical condition, or medical treatment or diagnosis by a health care professional""))
s_a2aviii = Section(""(viii)"")
s_a2a.add_subsection(s_a2aviii)
e.includes.append(Expression(s_a2aviii, ""health insurance policy number or subscriber identification number, or any unique identifier used by a health insurer to identify the individual""))
s_a2aix = Section(""(ix)"")
s_a2a.add_subsection(s_a2aix)
e.includes.append(Expression(s_a2aix, ""biometric information consisting of data generated by electronic measurements of an individual's unique physical characteristics used to authenticate or ascertain the individual's identity, such as a fingerprint, voice print, retina or iris image""))
s_a2ax = Section(""(x)"")
s_a2a.add_subsection(s_a2ax)
e.includes.append(Expression(s_a2ax, ""precise geolocation data, as defined in section 42-515""))
d.add_is_refined_by(Expression(s_a2ax, ""section 42-515""))
s_a2b = Section(""(B)"")
s_a2.add_subsection(s_a2b)
d.meaning.append(Expression(s_a2b, ""user name or electronic mail address, in combination with a password or security question and answer that would permit access to an online account""))
d.exclusions.append(Expression(s_a2, ""publicly available information that is lawfully made available to the general public from federal, state or local government records or widely distributed media""))","['#exclusion', '#continuation', '#definition', '#refined_by']"
"(b) (1) Any person who owns, licenses or maintains computerized data that includes personal information, shall provide notice of any breach of security following the discovery of the breach to any resident of this state whose personal information was breached or is reasonably believed to have been breached. Such notice shall be made without unreasonable delay but not later than sixty days after the discovery of such breach, unless a shorter time is required under federal law, subject to the provisions of subsection (d) of this section. If the person identifies additional residents of this state whose personal information was breached or reasonably believed to have been breached following sixty days after the discovery of such breach, the person shall proceed in good faith to notify such additional residents as expediently as possible. Such notification shall not be required if, after an appropriate investigation the person reasonably determines that the breach will not likely result in harm to the individuals whose personal information has been acquired or accessed.","sb = Section(""(b)"")
sb1 = Section(""(1)"")
sb.add_subsection(sb1)
r = Rule(sb1, Expression(sb1, ""Any person who owns, licenses or maintains computerized data that includes personal information""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(sb1, ""shall provide notice of any breach of security following the discovery of the breach to any resident of this state whose personal information was breached or is reasonably believed to have been breached"")

r1 = Rule(sb1, Expression(sb1, ""Such notice""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(sb1, ""shall be made without unreasonable delay but not later than sixty days after the discovery of such breach"")
r1.add_exception(Expression(sb1, ""unless a shorter time is required under federal law, subject to the provisions of subsection (d) of this section""))
r1.add_refines(r)


r2 = Rule(sb1, Expression(sb1, ""the person""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(sb1, ""shall proceed in good faith to notify additional residents as expediently as possible"")
r2.conditions.append(Expression(sb1, ""If the person identifies additional residents of this state whose personal information was breached or reasonably believed to have been breached following sixty days after the discovery of such breach""))
r2.add_refines(r1)

r3 = Rule(sb1, Expression(sb1, ""Such notification""))
r3.rule_type = Rule.OBLIGATION
r3.description = Expression(sb1, ""shall not be required"")
r3.conditions.append(Expression(sb1, ""after an appropriate investigation the person reasonably determines that the breach will not likely result in harm to the individuals whose personal information has been acquired or accessed""))
r3.add_is_exception_to(r)","['#obligation', '#condition', '#refines', '#exception', '#exception_to']"
"(b) (2) If notice of a breach of security is required by subdivision (1) of this subsection:
(A) The person who owns, licenses or maintains computerized data that includes personal information, shall, not later than the time when notice is provided to the resident, also provide notice of the breach of security to the Attorney General; and
(B) The person who owns or licenses computerized data that includes personal information, shall offer to each resident whose personal information under clause (i) or (ii) of subparagraph (a) of subdivision (2) of subsection (a) of this section was breached or is reasonably believed to have been breached, appropriate identity theft prevention services and, if applicable, identity theft mitigation services. Such service or services shall be provided at no cost to such resident for a period of not less than two years. Such person shall provide all information necessary for such resident to enroll in such service or services and shall include information on how such resident can place a credit freeze on such resident's credit file.","sb = Section(""(b)"")
sb2 = Section(""(2)"")
sb.add_subsection(sb2)
condition =Expression(sb2, ""notice of a breach of security is required by subdivision (1) of this subsection"")
sb2A = Section(""(A)"")
sb2.add_subsection(sb2A)
r1 = Rule(sb2A, Expression(sb2A, ""The person who owns, licenses or maintains computerized data that includes personal information""))
r1.conditions.append(condition)
r1.add_follows(Expression(sb2A, ""subdivision (1) of this subsection""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(sb2A, ""shall, not later than the time when notice is provided to the resident, provide notice of the breach of security to the Attorney General"")
 
sb2B = Section(""(B)"")
sb2.add_subsection(sb2B)
r2 = Rule(sb2B, Expression(sb2B, ""The person who owns or licenses computerized data that includes personal information""))
r2.conditions.append(condition)
r2.add_follows(Expression(sb2A, ""subdivision (1) of this subsection""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(sb2B, ""shall offer to each resident whose personal information under clause (i) or (ii) of subparagraph (a) of subdivision (2) of subsection (a) of this section was breached or is reasonably believed to have been breached, appropriate identity theft prevention services and, if applicable, identity theft mitigation services"")
r2.add_follows(Expression(sb2B, ""clause (i) or (ii) of subparagraph (a) of subdivision (2) of subsection (a) of this section""))

r3 = Rule(sb2B, Expression(sb2B, ""Such service or services""))
r3.rule_type = Rule.OBLIGATION
r3.description = Expression(sb2B, ""shall be provided at no cost to such resident for a period of not less than two years"")
r3.add_refines(r2)

r4a = Rule(sb2B, Expression(sb2B, ""Such a person""))
r4a.rule_type = Rule.OBLIGATION
r4a.description=Expression(sb2B, ""shall provide all information necessary for such resident to enroll in such service or services"")
r4a.add_refines(r2)
r4b = Rule(Expression(sb2B, ""Such a person""))
r4b.rule_type = Rule.OBLIGATION
r4b.description=Expression(sb2B, ""shall include information on how such resident can place a credit freeze on such resident's credit file"")
r4a.add_refines(r2)","['#continuation', '#obligation', '#condition', '#refines', '#follows']"
"(c) Any person that maintains computerized data that includes personal information that the person does not own shall notify the owner or licensee of the information of any breach of the security of the data immediately following its discovery, if the personal information of a resident of this state was breached or is reasonably believed to have been breached.
","sc = Section(""(c)"")
r = Rule(sc, Expression(sc, ""Any person that maintains computerized data that includes personal information that the person does not own""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(sc, ""shall notify the owner or licensee of the information of any breach of the security of the data immediately following its discovery"")
r.conditions.append(Expression(sc, ""the personal information of a resident of this state was breached or is reasonably believed to have been breached""))
","['#condition', '#obligation']"
"(d) Any notification required by this section shall be delayed for a reasonable period of time if a law enforcement agency determines that the notification will impede a criminal investigation and such law enforcement agency has made a request that the notification be delayed. Any such delayed notification shall be made after such law enforcement agency determines that notification will not compromise the criminal investigation and so notifies the person of such determination.
","sd = Section(""(d)"")
r = Rule(sd, Expression(sd, ""Any notification required by this section""))
r.rule_type = Rule.OBLIGATION
r.conditions.append(Expression(sd, ""a law enforcement agency determines that the notification will impede a criminal investigation and such law enforcement agency has made a request that the notification be delayed""))
r.description = Expression(sd, ""shall be delayed for a reasonable period of time"")
r.add_is_exception_to(Expression(sd, ""this section""))
r2 = Rule(sd, Expression(sd, ""Any such delayed notification""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(sd, ""shall be made"")
r2.conditions.append(Expression(sd, ""after such law enforcement agency determines that notification will not compromise the criminal investigation and so notifies the person of such determination""))
r2.add_refines(r)","['#condition', '#obligation', '#refines', '#exception_to']"
"(e) Any notice to a resident, owner or licensee required by the provisions of this section may be provided by one of the following methods, subject to the provisions of subsection (f) of this section: (1) Written notice; (2) telephone notice; (3) electronic notice, provided such notice is consistent with the provisions regarding electronic records and signatures set forth in 15 USC 7001; (4) substitute notice, provided such person demonstrates in the notice provided to the Attorney General that the cost of providing notice in accordance with subdivision (1), (2) or (3) of this subsection would exceed two hundred fifty thousand dollars, that the affected class of subject persons to be notified exceeds five hundred thousand persons or that the person does not have sufficient contact information. Substitute notice shall consist of the following: (a) Electronic mail notice when the person has an electronic mail address for the affected persons; (B) conspicuous posting of the notice on the web site of the person if the person maintains one; and (C) notification to major state-wide media, including newspapers, radio and television.","se = Section(""(e)"")
r = Rule(se, Expression(se, ""Any notice to a resident, owner or licensee required by the provisions of this section""))
r.rule_type = Rule.PERMISSION
r.description = Expression(se, ""may be provided by one of the following methods, subject to the provisions of subsection (f) of this section"")
r.add_follows(Expression(se, ""subsection (f) of this section""))
se1 = Section(""(1)"")
se.add_subsection(se1)
r.description.includes.append(Expression(se1, ""Written notice""))
se2 = Section(""(2)"")
se.add_subsection(se2)
r.description.includes.append(Expression(se2, ""telephone notice""))
se3 = Section(""(3)"")
se.add_subsection(se3)
r.description.includes.append(Expression(se3, ""electronic notice, provided such notice is consistent with the provisions regarding electronic records and signatures set forth in 15 USC 7001""))
r.add_follows(Expression(se3, ""15 USC 7001""))

se4 = Section(""(4)"")
se.add_subsection(se4)
e=Expression(se4, ""substitute notice, provided such person demonstrates in the notice provided to the Attorney General that the cost of providing notice in accordance with subdivision (1), (2) or (3) of this subsection would exceed two hundred fifty thousand dollars, that the affected class of subject persons to be notified exceeds five hundred thousand persons or that the person does not have sufficient contact information"")
r.add_follows(Expression(se4, ""subdivision (1), (2) or (3) of this subsection""))
r.description.includes.append(e)
r1=Rule(se4, Expression(se4, ""substitute notice""))
r1.rule_type=Rule.OBLIGATION
r1.description=Expression(se4, ""shall consist of the following:"")
se4a = Section(""(a)"")
se4.add_subsection(se4a)
r1.description.includes.append(Expression(se4a, ""Electronic mail notice when the person has an electronic mail address for the affected persons""))
se4b = Section(""(B)"")
se4.add_subsection(se4b)
r1.description.includes.append(Expression(se4b, ""conspicuous posting of the notice on the web site of the person if the person maintains one""))
se4c = Section(""(C)"")
se4.add_subsection(se4c)
r1.description.includes.append(Expression(se4c, ""notification to major state-wide media, including newspapers, radio and television""))","['#continuation', '#obligation', '#permission', '#condition', '#follows']"
"(f) (1) In the event of a breach of login credentials under subparagraph (B) of subdivision (2) of subsection (a) of this section, notice to a resident may be provided in electronic or other form that directs the resident whose personal information was breached or is reasonably believed to have been breached to promptly change any password or security question and answer, as applicable, or to take other appropriate steps to protect the affected online account and all other online accounts for which the resident uses the same user name or electronic mail address and password or security question and answer.
(2) Any person that furnishes an electronic mail account shall not comply with this section by providing notification to the electronic mail account that was breached or reasonably believed to have been breached if the person cannot reasonably verify the affected resident's receipt of such notification. In such an event, the person shall provide notice by another method described in this section or by clear and conspicuous notice delivered to the resident online when the resident is connected to the online account from an Internet protocol address or online location from which the person knows the resident customarily accesses the account.","s = Section(sectionNumber=""(f)"")
s1 = Section(""(1)"")
s.add_subsection(s1)
r1 = Rule(s1, Expression(s1, ""notice to a resident""))
r1.rule_type = Rule.PERMISSION
r1.description = Expression(s1, ""may be provided in electronic or other form that directs the resident whose personal information was breached or is reasonably believed to have been breached to promptly change any password or security question and answer, as applicable, or to take other appropriate steps to protect the affected online account and all other online accounts for which the resident uses the same user name or electronic mail address and password or security question and answer"")
e=Expression(s1, ""In the event of a breach of login credentials under subparagraph (B) of subdivision (2) of subsection (a) of this section"")
r1.add_follows(Expression(s1, ""subparagraph (B) of subdivision (2) of subsection (a) of this section""))
r1.description.includes.append(e)

s2 = Section(""(2)"")
s.add_subsection(s2)
r2 = Rule(s2, Expression(s2, ""Any person that furnishes an electronic mail account""))
r2.rule_type = Rule.PROHIBITION
r2.description = Expression(s2, ""comply with this section by providing notification to the electronic mail account that was breached or reasonably believed to have been breached"")
r2.conditions.append(Expression(s2, ""if the person cannot reasonably verify the affected resident's receipt of such notification""))
r2.add_refines(r1)

r3 = Rule(s2, Expression(s2, ""the person""))
r3.rule_type=Rule.OBLIGATION
r3.description = Expression(s2, ""provide notice by another method described in this section or by clear and conspicuous notice delivered to the resident online when the resident is connected to the online account from an Internet protocol address or online location from which the person knows the resident customarily accesses the account"")
r3.add_refines(r2)","['#obligation', '#permission', '#condition', '#refines', '#prohibition', '#follows']"
"(g) Any person that maintains such person's own security breach procedures as part of an information security policy for the treatment of personal information and otherwise complies with the timing requirements of this section, shall be deemed to be in compliance with the security breach notification requirements of this section, provided such person notifies, as applicable, residents of this state, owners and licensees in accordance with such person's policies in the event of a breach of security and in the case of notice to a resident, such person also notifies the Attorney General not later than the time when notice is provided to the resident. Any person that maintains such a security breach procedure pursuant to the rules, regulations, procedures or guidelines established by the primary or functional regulator, as defined in 15 USC 6809(2), shall be deemed to be in compliance with the security breach notification requirements of this section, provided (1) such person notifies, as applicable, such residents of this state, owners, and licensees required to be notified under and in accordance with the policies or the rules, regulations, procedures or guidelines established by the primary or functional regulator in the event of a breach of security, and (2) if notice is given to a resident of this state in accordance with subdivision (1) of this subsection regarding a breach of security, such person also notifies the Attorney General not later than the time when notice is provided to the resident.","s = Section(""(g)"")
r1 = Rule(s, Expression(s, ""Any person that maintains own security breach procedures as part of an information security policy for the treatment of personal information and otherwise complies with the timing requirements of this section""))
r1.rule_type = Rule.PERMISSION
r1.description = Expression(s, ""shall be deemed to be in compliance with the security breach notification requirements of this section"")
c1a = Expression(s, ""such person notifies, as applicable, residents of this state, owners and licensees in accordance with such person's policies in the event of a breach of security"")
c1b = Expression(s, ""in the case of notice to a resident, such person notifies the Attorney General not later than the time when notice is provided to the resident"")
r1.conditions.append(c1a)
r1.conditions.append(c1b)

r2 = Rule(s, Expression(s, ""Any person that maintains such a security breach procedure pursuant to the rules, regulations, procedures or guidelines established by the primary or functional regulator as defined in 15 USC 6809(2)""))
r2.rule_type = Rule.PERMISSION
r2.description = Expression(s, ""shall be deemed to be in compliance with the security breach notification requirements of this section"")
s1 = Section(""(1)"")
s.add_subsection(s1)
c2a = Expression(s1, ""such person notifies, as applicable, such residents of this state, owners, and licensees required to be notified under and in accordance with the policies or the rules, regulations, procedures or guidelines established by the primary or functional regulator in the event of a breach of security"")
s2 = Section(""(2)"")
s.add_subsection(s2)
c2b = Expression(s2, ""notice is given to a resident of this state in accordance with subdivision (1) of this subsection regarding a breach of security, such person notifies the Attorney General not later than the time when notice is provided to the resident"")
r2.add_follows(Expression(s2, ""subdivision (1) of this subsection""))
r2.conditions.append(c2a)
r2.conditions.append(c2b)","['#condition', '#permission', '#follows']"
"(h) Any person that is subject to and in compliance with the privacy and security standards under the Health Insurance Portability and Accountability Act of 1996 and the Health Information Technology for Economic and Clinical Health Act (""HITECH"") shall be deemed to be in compliance with this section, provided that (1) any person required to provide notification to Connecticut residents pursuant to HITECH shall also provide notice to the Attorney General not later than the time when notice is provided to such residents if notification to the Attorney General would otherwise be required under subparagraph (a) of subdivision (2) of subsection (b) of this section, and (2) the person otherwise complies with the requirements of subparagraph (B) of subdivision (2) of subsection (b) of this section.","s_h = Section(""(h)"")
r_h = Rule(Expression(s_h, ""Any person that is subject to and in compliance with the privacy and security standards under the Health Insurance Portability and Accountability Act of 1996 and the Health Information Technology for Economic and Clinical Health Act""))
r_h.rule_type = Rule.PERMISSION
r_h.description = Expression(s_h, ""shall be deemed"")
s_h1 = Section(""(1)"")
s_h.add_subsection(s_h1)
e1=Expression(s_h1, ""(1) any person required to provide notification to Connecticut residents pursuant to HITECH shall also provide notice to the Attorney General not later than the time when notice is provided to such residents if notification to the Attorney General would otherwise be required under subparagraph (a) of subdivision (2) of subsection (b) of this section"")
r_h.conditions.append(e1)
r_h.add_follows(Expression(s_h1, ""subparagraph (a) of subdivision (2) of subsection (b) of this section""))
r_h.add_follows(Expression(s_h1, ""the Health Insurance Portability and Accountability Act of 1996 and the Health Information Technology for Economic and Clinical Health Act""))
s_h2 = Section(""(2)"")
s_h.add_subsection(s_h2)
e2=Expression(s_h2, ""(2) the person otherwise complies with the requirements of subparagraph (B) of subdivision (2) of subsection (b) of this section"")
r_h.conditions.append(e2)
r_h.add_follows(Expression(s_h2, ""subparagraph (B) of subdivision (2) of subsection (b) of this section""))","['#condition', '#permission', '#follows']"
