text,code,tags
"§14–3501.;(a)
In this subtitle the following words have the meanings indicated.","s = Section(sectionNumber=""§14–3501"")
a = Section(""a"")
s.add_subsection(a)
i= Information(a, Expression(a, ""In this subtitle the following words have the meanings indicated""))",['#information']
"§14–3501.;(b)
(1) ""Business"" means a sole proprietorship, partnership, corporation, association, or any other business entity, whether or not organized to operate at a profit.
(2) ""Business"" includes a financial institution organized, chartered, licensed, or otherwise authorized under the laws of this State, any other state, the United States, or any other country, and the parent or subsidiary of a financial institution.","s = Section(sectionNumber=""§14–3501"")
s_b = Section(""(b)"")
s.add_subsection(s_b)
s_b1 = Section(""(1)"")
s_b.add_subsection(s_b1)
d1 = Definition(s_b1, Expression(s_b1, ""Business""))
d1.meaning.append(Expression(s_b1, ""a sole proprietorship, partnership, corporation, association, or any other business entity, whether or not organized to operate at a profit""))
s_b2 = Section(""(2)"")
s_b.add_subsection(s_b2)
d1.meaning.append(Expression(s_b2, ""a financial institution organized, chartered, licensed, or otherwise authorized under the laws of this State, any other state, the United States, or any other country, and the parent or subsidiary of a financial institution""))",['#definition']
"§14–3501.;(c)
""Encrypted"" means the transformation of data through the use of an algorithmic process into a form in which there is a low probability of assigning meaning without use of a confidential process or key.","s = Section(sectionNumber=""14–3501"")
sc = Section(""(c)"")
s.add_subsection(sc)
d = Definition(sc, Expression(sc, ""Encrypted""))
d.meaning.append(Expression(sc, ""the transformation of data through the use of an algorithmic process into a form in which there is a low probability of assigning meaning without use of a confidential process or key""))",['#definition']
"§14–3501.;(d)
(1) ""Personal information"" means an individual's first name or first initial and last name in combination with any one or more of the following data elements, when the name or the data elements are not encrypted, redacted, or otherwise protected by another method that renders the information unreadable or unusable:
(i) A Social Security number;
(ii) A driver's license number;
(iii) A financial account number, including a credit card number or debit card number, that in combination with any required security code, access code, or password, would permit access to an individual's financial account; or
(iv) An Individual Taxpayer Identification Number.
(2) ""Personal information"" does not include:
(i) Publicly available information that is lawfully made available to the general public from federal, State, or local government records;
(ii) Information that an individual has consented to have publicly disseminated or listed; or
(iii) Information that is disseminated or listed in accordance with the federal Health Insurance Portability and Accountability Act.","s = Section(sectionNumber=""§14–3501"")
s_d = Section(""(d)"")
s.add_subsection(s_d)
d = Definition(s_d, Expression(s_d, ""Personal information""))
s_d1 = Section(""(1)"")
s_d.add_subsection(s_d1)
e1=Expression(s_d1, ""an individual's first name or first initial and last name in combination with any one or more of the following data elements, when the name or the data elements are not encrypted, redacted, or otherwise protected by another method that renders the information unreadable or unusable:"")
d.meaning.append(e1)
s_d1i = Section(""(i)"")
s_d1.add_subsection(s_d1i)
e1.includes.append(Expression(s_d1i, ""A Social Security number""))
s_d1ii = Section(""(ii)"")
s_d1.add_subsection(s_d1ii)
e1.includes.append(Expression(s_d1ii, ""A driver's license number""))
s_d1iii = Section(""(iii)"")
s_d1.add_subsection(s_d1iii)
e1.includes.append(Expression(s_d1iii, ""A financial account number, including a credit card number or debit card number, that in combination with any required security code, access code, or password, would permit access to an individual's financial account""))
s_d1iv = Section(""(iv)"")
s_d1.add_subsection(s_d1iv)
e1.includes.append(Expression(s_d1iv, ""An Individual Taxpayer Identification Number""))
s_d2 = Section(""(2)"")
s_d.add_subsection(s_d2)
s_d2i = Section(""(i)"")
s_d2.add_subsection(s_d2i)
d.exclusions.append(Expression(s_d2i, ""Publicly available information that is lawfully made available to the general public from federal, State, or local government records""))
s_d2ii = Section(""(ii)"")
s_d2.add_subsection(s_d2ii)
d.exclusions.append(Expression(s_d2ii, ""Information that an individual has consented to have publicly disseminated or listed""))
s_d2iii = Section(""(iii)"")
s_d2.add_subsection(s_d2iii)
d.exclusions.append(Expression(s_d2iii, ""Information that is disseminated or listed in accordance with the federal Health Insurance Portability and Accountability Act""))
d.add_follows(Expression(s_d2iii, ""the federal Health Insurance Portability and Accountability Act""))","['#continuation', '#definition', '#exclusion', '#follows']"
"§14–3501.;(e)
""Records"" means information that is inscribed on a tangible medium or that is stored in an electronic or other medium and is retrievable in perceivable form.","s = Section(sectionNumber=""§14–3501"")
se = Section(""(e)"")
s.add_subsection(se)
d = Definition(se, Expression(se, ""Records""))
d.meaning.append(Expression(se, ""information that is inscribed on a tangible medium or that is stored in an electronic or other medium and is retrievable in perceivable form""))",['#definition']
"§14–3502.;(a)
In this section, ""customer"" means an individual residing in the State who provides personal information to a business for the purpose of purchasing or leasing a product or obtaining a service from the business.","s = Section(sectionNumber=""14–3502"")
sa = Section(""(a)"")
s.add_subsection(sa)
d = Definition(sa, Expression(sa, ""customer""))
d.meaning.append(Expression(sa, ""an individual residing in the State who provides personal information to a business for the purpose of purchasing or leasing a product or obtaining a service from the business""))",['#definition']
"§14–3502.;(b)
When a business is destroying a customer's records that contain personal information of the customer, the business shall take reasonable steps to protect against unauthorized access to or use of the personal information, taking into account:
(1) The sensitivity of the records;
(2) The nature and size of the business and its operations;
(3) The costs and benefits of different destruction methods; and
(4) Available technology.","s = Section(sectionNumber=""§14–3502"")
sb = Section(""(b)"")
s.add_subsection(sb)
r = Rule(sb, Expression(sb, ""the business""))
r.conditions.append(Expression(sb, ""When a business is destroying a customer's records that contain personal information of the customer""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(sb, ""shall take reasonable steps to protect against unauthorized access to or use of the personal information taking into account:"")
sb1 = Section(""(1)"")
sb.add_subsection(sb1)
c1 = Expression(sb1, ""The sensitivity of the records"")
r.description.includes.append(c1)
sb2 = Section(""(2)"")
sb.add_subsection(sb2)
c2 = Expression(sb2, ""The nature and size of the business and its operations"")
r.description.includes.append(c2)
sb3 = Section(""(3)"")
sb.add_subsection(sb3)
c3 = Expression(sb3, ""The costs and benefits of different destruction methods"")
r.conditions.append(c3)
sb4 = Section(""(4)"")
sb.add_subsection(sb4)
c4 = Expression(sb4, ""Available technology"")
r.description.includes.append(c4)","['#condition', '#continuation', '#obligation']"
"§14–3503.;(a)
To protect personal information from unauthorized access, use, modification, or disclosure, a business that owns or licenses personal information of an individual residing in the State shall implement and maintain reasonable security procedures and practices that are appropriate to the nature of the personal information owned or licensed and the nature and size of the business and its operations.","s = Section(sectionNumber=""§14–3503"")
s1 = Section(""(a)"")
s.add_subsection(s1)
r1 = Rule(s1, Expression(s1, ""a business that owns or licenses personal information of an individual residing in the State""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(s1, ""shall implement and maintain reasonable security procedures and practices that are appropriate to the nature of the personal information owned or licensed and the nature and size of the business and its operations"")
r1.description.includes.append(Expression(s1, ""To protect personal information from unauthorized access, use, modification, or disclosure""))",['#obligation']
"§14–3503.;(b)
(1) A business that uses a nonaffiliated third party as a service provider to perform services for the business and discloses personal information about an individual residing in the State under a written contract with the third party shall require by contract that the third party implement and maintain reasonable security procedures and practices that:
(i) Are appropriate to the nature of the personal information disclosed to the nonaffiliated third party; and
(ii) Are reasonably designed to help protect the personal information from unauthorized access, use, modification, disclosure, or destruction.
(2) This subsection shall apply to a written contract that is entered into on or after January 1, 2009.","s = Section(sectionNumber=""§14–3503"")
sb = Section(""(b)"")
s.add_subsection(sb)
sb1 = Section(""(1)"")
sb.add_subsection(sb1)
r1 = Rule(sb1, Expression(sb1, ""A business that uses a nonaffiliated third party as a service provider to perform services for the business and discloses personal information about an individual residing in the State under a written contract with the third party""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(sb1, ""shall require by contract that the third party implement and maintain reasonable security procedures and practices that:"")
sb1i = Section(""(i)"")
sb1.add_subsection(sb1i)
r1.description.includes.append(Expression(sb1i, ""are appropriate to the nature of the personal information disclosed to the nonaffiliated third party""))
sb1ii = Section(""(ii)"")
sb1.add_subsection(sb1ii)
r1.description.includes.append(Expression(sb1ii, ""are reasonably designed to help protect the personal information from unauthorized access, use, modification, disclosure, or destruction""))
sb2 = Section(""(2)"")
sb.add_subsection(sb2)
r2 = Rule(sb2, Expression(sb2, ""This subsection""))
r2.rule_type = Rule.OBLIGATION
r2.description=Expression(sb2, ""shall apply to a written contract that is entered into on or after January 1, 2009"")","['#continuation', '#obligation']"
"§14–3504.;(a)
In this section:
(1) ""Breach of the security of a system"" means the unauthorized acquisition of computerized data that compromises the security, confidentiality, or integrity of the personal information maintained by a business; and
(2) ""Breach of the security of a system"" does not include the good faith acquisition of personal information by an employee or agent of a business for the purposes of the business, provided that the personal information is not used or subject to further unauthorized disclosure.","s = Section(sectionNumber=""14-3504"")
sa = Section(""(a)"")
s.add_subsection(sa)
sa1 = Section(""(1)"")
sa.add_subsection(sa1)
d1 = Definition(sa1, Expression(sa1, ""Breach of the security of a system""))
d1.meaning.append(Expression(sa1, ""unauthorized acquisition of computerized data that compromises the security, confidentiality, or integrity of the personal information maintained by a business""))
sa2 = Section(""(2)"")
sa.add_subsection(sa2)
d2 = Definition(sa2, Expression(sa2, ""Breach of the security of a system""))
d2.exclusions.append(Expression(sa2, ""good faith acquisition of personal information by an employee or agent of a business for the purposes of the business, provided that the personal information is not used or subject to further unauthorized disclosure""))","['#exclusion', '#continuation', '#definition']"
