text,code,tags
"NRS 603A.010  Definitions.;None
As used in NRS 603A.010 to 603A.290, inclusive, unless the context otherwise requires, the words and terms defined in NRS 603A.020, 603A.030 and 603A.040 have the meanings ascribed to them in those sections.","s = Section(sectionNumber=""603A.010"", sectionTitle=""Definitions"")
e=Expression(s, ""the words and terms defined in NRS603A.020, 603A.030 and 603A.040 have the meanings ascribed to them in those sections"")
i1= Information(s, e)
i1.add_exception(Expression(s, ""the context otherwise requires""))
i1.add_is_followed_by(Expression(s, ""NRS603A.020, 603A.030 and 603A.040""))","['#information', '#exception', '#followed_by']"
"NRS 603A.020  ""Breach of the security of the system data"" defined.;None
""Breach of the security of the system data"" means unauthorized acquisition of computerized data that materially compromises the security, confidentiality or integrity of personal information maintained by the data collector. The term does not include the good faith acquisition of personal information by an employee or agent of the data collector for a legitimate purpose of the data collector, so long as the personal information is not used for a purpose unrelated to the data collector or subject to further unauthorized disclosure.","s = Section(sectionNumber=""603A.020"", sectionTitle=""Breach of the security of the system data defined"")
d = Definition(s, Expression(s, ""Breach of the security of the system data""))
d.meaning.append(Expression(s, ""unauthorized acquisition of computerized data that materially compromises the security, confidentiality or integrity of personal information maintained by the data collector""))
d.exclusions.append(Expression(s, ""the good faith acquisition of personal information by an employee or agent of the data collector for a legitimate purpose of the data collector, so long as the personal information is not used for a purpose unrelated to the data collector or subject to further unauthorized disclosure""))","['#definition', '#exclusion']"
"NRS 603A.030  ""Data collector"" defined.;None
""Data collector"" means any governmental agency, institution of higher education, corporation, financial institution or retail operator or any other type of business entity or association that, for any purpose, whether by automated collection or otherwise, handles, collects, disseminates or otherwise deals with nonpublic personal information.","s = Section(sectionNumber=""603A.030"", sectionTitle=""Data collector defined"")
d = Definition(s, Expression(s, ""Data collector""))
d.meaning.append(Expression(s, ""any governmental agency, institution of higher education, corporation, financial institution or retail operator or any other type of business entity or association that, for any purpose, whether by automated collection or otherwise, handles, collects, disseminates or otherwise deals with nonpublic personal information""))",['#definition']
"NRS 603A.040  ""Personal information"" defined.;1.
""Personal information"" means a natural person's first name or first initial and last name in combination with any one or more of the following data elements, when the name and data elements are not encrypted:
(a) Social security number.
(b) Driver's license number, driver authorization card number or identification card number.
(c) Account number, credit card number or debit card number, in combination with any required security code, access code or password that would permit access to the person's financial account.
(d) A medical identification number or a health insurance identification number.
(e) A user name, unique identifier or electronic mail address in combination with a password, access code or security question and answer that would permit access to an online account.","s = Section(sectionNumber=""603A.040"", sectionTitle=""Personal information defined"")
s1 = Section(sectionNumber=""1."")
s.add_subsection(s1)
d = Definition(s1, Expression(s1, ""Personal information""))
e=Expression(s1, ""a natural persons first name or first initial and last name in combination with any one or more of the following data elements, when the name and data elements are not encrypted:"")
d.meaning.append(e)
s1a = Section(sectionNumber=""(a)"")
s1.add_subsection(s1a)
e1=Expression(s1a, ""Social security number"")
e.includes.append(e1)
s1b = Section(sectionNumber=""(b)"")
s1.add_subsection(s1b)
e2=Expression(s1b, ""Drivers license number, driver authorization card number or identification card number"")
e.includes.append(e2)
s1c = Section(sectionNumber=""(c)"")
s1.add_subsection(s1c)
e3=Expression(s1c, ""Account number, credit card number or debit card number, in combination with any required security code, access code or password that would permit access to the persons financial account."")
e.includes.append(e3)
s1d = Section(sectionNumber=""(d)"")
s1.add_subsection(s1d)
e4=Expression(s1d, ""A medical identification number or a health insurance identification number."")
e.includes.append(e4)
s1e = Section(sectionNumber=""(e)"")
s1.add_subsection(s1e)
e5=Expression(s1e, ""A user name, unique identifier or electronic mail address in combination with a password, access code or security question and answer that would permit access to an online account."")
e.includes.append(e5)","['#definition', '#continuation']"
"NRS 603A.040  ""Personal information"" defined.;2.
The term does not include the last four digits of a social security number, the last four digits of a driver's license number, the last four digits of a driver authorization card number or the last four digits of an identification card number or publicly available information that is lawfully made available to the general public from federal, state or local governmental records.","s = Section(sectionNumber=""603A.040"", sectionTitle=""Personal information defined"")
s2 = Section(sectionNumber=""2."")
s.add_subsection(s2)
d = Definition(s2, Expression(s, ""Personal information""))
d.exclusions.append(Expression(s2, ""the last four digits of a social security number, the last four digits of a driver's license number, the last four digits of a driver authorization card number or the last four digits of an identification card number or publicly available information that is lawfully made available to the general public from federal, state or local governmental records""))","['#definition', '#exclusion']"
"NRS 603A.100  Applicability; waiver of provisions prohibited.;1.
The provisions of NRS 603A.010 to 603A.290, inclusive, do not apply to the maintenance or transmittal of information in accordance with NRS 439.581 to 439.597, inclusive, and the regulations adopted pursuant thereto.","s = Section(sectionNumber=""603A.100"", sectionTitle=""Applicability; waiver of provisions prohibited"")
s1 = Section(sectionNumber=""1."")
s.add_subsection(s1)
e=Expression(s1, ""The provisions of NRS 603A.010 to 603A.290, inclusive, do not apply to the maintenance or transmittal of information in accordance with NRS 439.581 to 439.597, inclusive, and the regulations adopted pursuant thereto."")
i1= Information(s1, e)
i1.add_follows(Expression(s1, ""NRS 439.581 to 439.597""))","['#information', '#follows']"
"NRS 603A.100  Applicability; waiver of provisions prohibited.;2.
A data collector who is also an operator, as defined in NRS 603A.330, shall comply with the provisions of NRS 603A.300 to 603A.360, inclusive.","s = Section(sectionNumber=""603A.100"", sectionTitle=""Applicability; waiver of provisions prohibited"")
s2 = Section(sectionNumber=""2."")
s.add_subsection(s2)
e=Expression(s2, ""A data collector who is also an operator"")
r=Rule(s2, e)
r.rule_type=Rule.OBLIGATION
r.description=Expression(s2, ""shall comply with the provisions of NRS 603A.300 to 603A.360, inclusive"")
r.add_follows(Expression(s2, ""NRS 603A.330""))
r.add_follows(Expression(s2, ""NRS 603A.300 to 603A.360 inclusive""))","['#obligation', '#follows']"
"NRS 603A.100  Applicability; waiver of provisions prohibited.;3.
Any waiver of the provisions of NRS 603A.010 to 603A.290, inclusive, is contrary to public policy, void and unenforceable.","s = Section(sectionNumber=""603A.100"", sectionTitle=""Applicability; waiver of provisions prohibited"")
s3 = Section(sectionNumber=""3."")
s.add_subsection(s3)
i1= Information(s3, Expression(s3, ""Any waiver of the provisions of NRS 603A.010 to 603A.290, inclusive, is contrary to public policy, void and unenforceable.""))",['#information']
"NRS 603A.200  Destruction of certain records.;1.
A business that maintains records which contain personal information concerning the customers of the business shall take reasonable measures to ensure the destruction of those records when the business decides that it will no longer maintain the records.","s = Section(sectionNumber=""NRS 603A.200"", sectionTitle=""Destruction of certain records"")
s1 = Section(""1."")
s.add_subsection(s1)
r = Rule(s1, Expression(s1, ""A business that maintains records which contain personal information concerning the customers of the business""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(s1, ""shall take reasonable measures to ensure the destruction of those records when the business decides that it will no longer maintain the records."")",['#obligation']
"NRS 603A.200  Destruction of certain records.;2.
As used in this section:
(a) ""Business"" means a proprietorship, corporation, partnership, association, trust, unincorporated organization or other enterprise doing business in this State.
(b) ""Reasonable measures to ensure the destruction"" means any method that modifies the records containing the personal information in such a way as to render the personal information contained in the records unreadable or undecipherable, including, without limitation:
(1) Shredding of the record containing the personal information; or
(2) Erasing of the personal information from the records.","s = Section(sectionNumber=""NRS 603A.200"", sectionTitle=""Destruction of certain records"")
s2 = Section(""2."")
s.add_subsection(s2)
I=Information(s2, Expression(s2, ""As used in this section:""))
s2a = Section(""(a)"")
s2.add_subsection(s2a)
d1 = Definition(s2a, Expression(s2a, ""Business""))
d1.meaning.append(Expression(s2a, ""a proprietorship, corporation, partnership, association, trust, unincorporated organization or other enterprise doing business in this State""))
s2b = Section(""(b)"")
s2.add_subsection(s2b)
d2 = Definition(s2b, Expression(s2b, ""Reasonable measures to ensure the destruction""))
e=Expression(s2b, ""any method that modifies the records containing the personal information in such a way as to render the personal information contained in the records unreadable or undecipherable, including, without limitation:"")
d2.meaning.append(e)
s2b1 = Section(""(1)"")
s2b.add_subsection(s2b1)
e1=Expression(s2b1, ""Shredding of the record containing the personal information"")
e.includes.append(e1)
s2b2 = Section(""(2)"")
s2b.add_subsection(s2b2)
e2=Expression(s2b2, ""Erasing of the personal information from the records"")
e.includes.append(e2)","['#definition', '#continuation', '#information']"
"NRS 603A.210  Security measures.;1.
A data collector that maintains records which contain personal information of a resident of this State shall implement and maintain reasonable security measures to protect those records from unauthorized access, acquisition, destruction, use, modification or disclosure.","s = Section(sectionNumber=""NRS 603A.210"", sectionTitle=""Security measures."")
s1 = Section(""1."")
s.add_subsection(s1)
r1 = Rule(s1, Expression(s1, ""A data collector that maintains records which contain personal information of a resident of this State""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(s1, ""shall implement and maintain reasonable security measures to protect those records from unauthorized access, acquisition, destruction, use, modification or disclosure."")",['#obligation']
"NRS 603A.210  Security measures.;2.
If a data collector is a governmental agency and maintains records which contain personal information of a resident of this State, the data collector shall, to the extent practicable, with respect to the collection, dissemination and maintenance of those records, comply with the current version of the CIS Controls as published by the Center for Internet Security, Inc. or its successor organization, or corresponding standards adopted by the National Institute of Standards and Technology of the United States Department of Commerce.","s = Section(sectionNumber=""NRS 603A.210"", sectionTitle=""Security measures."")
s2 = Section(""2."")
s.add_subsection(s2)
r = Rule(s2, Expression(s2, ""the data collector""))
r.rule_type=Rule.OBLIGATION
r.description = Expression(s2, ""shall, to the extent practicable, with respect to the collection, comply with the current version of the CIS Controls as published by the Center for Internet Security, Inc. or its successor organization, or corresponding standards adopted by the National Institute of Standards and Technology of the United States Department of Commerce"")
r.conditions.append(Expression(s2, ""a data collector is a governmental agency and maintains records which contain personal information of a resident of this State""))","['#obligation', '#condition']"
"NRS 603A.210  Security measures.;3.
A contract for the disclosure of the personal information of a resident of this State which is maintained by a data collector must include a provision requiring the person to whom the information is disclosed to implement and maintain reasonable security measures to protect those records from unauthorized access, acquisition, destruction, use, modification or disclosure.","s = Section(sectionNumber=""NRS 603A.210"", sectionTitle=""Security measures."")
s3 = Section(""3."")
s.add_subsection(s3)
r = Rule(s3, Expression(s3, ""A contract for the disclosure of the personal information of a resident of this State which is maintained by a data collector""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(s3, ""must include a provision requiring the person to whom the information is disclosed to implement and maintain reasonable security measures to protect those records from unauthorized access, acquisition, destruction, use, modification or disclosure."")",['#obligation']
"NRS 603A.210  Security measures.;4.
If a state or federal law requires a data collector to provide greater protection to records that contain personal information of a resident of this State which are maintained by the data collector and the data collector is in compliance with the provisions of that state or federal law, the data collector shall be deemed to be in compliance with the provisions of this section.","s = Section(sectionNumber=""NRS 603A.210"", sectionTitle=""Security measures."")
s4 = Section(""4."")
s.add_subsection(s4)
r = Rule(s4, Expression(s4, ""the data collector""))
r.rule_type = Rule.PERMISSION
r.description = Expression(s4, ""shall be deemed to be in compliance with the provisions of this section"")
r.conditions.append(Expression(s4, ""a state or federal law requires a data collector to provide greater protection to records that contain personal information of a resident of this State which are maintained by the data collector and the data collector is in compliance with the provisions of that state or federal law""))",['#permission']
"NRS 603A.210  Security measures.;5.
The Office of Information Security of the Office of the Chief Information Officer within the Office of the Governor shall create, maintain and make available to the public a list of controls and standards with which the State is required to comply pursuant to any federal law, regulation or framework that also satisfy the controls and standards set forth in subsection 2.","s = Section(sectionNumber=""NRS 603A.210"", sectionTitle=""Security measures."")
s5 = Section(""5."")
s.add_subsection(s5)
r=Rule(s5, Expression(s5, ""The Office of Information Security of the Office of the Chief Information Officer within the Office of the Governor""))
r.rule_type=Rule.OBLIGATION
r.description=Expression(s5, ""shall create, maintain and make available to the public a list of controls and standards with which the State is required to comply pursuant to any federal law, regulation or framework that also satisfy the controls and standards set forth in subsection 2"")
r.add_follows(Expression(s5, ""subsection 2""))","['#obligation', '#follows']"
"NRS 603A.215  Security measures for data collector that accepts payment card; use of encryption; liability for damages; applicability.;1.
If a data collector doing business in this State accepts a payment card in connection with a sale of goods or services, the data collector shall comply with the current version of the Payment Card Industry (PCI) Data Security Standard, as adopted by the PCI Security Standards Council or its successor organization, with respect to those transdescriptions, not later than the date for compliance set forth in the Payment Card Industry (PCI) Data Security Standard or by the PCI Security Standards Council or its successor organization.","s = Section(sectionNumber=""NRS 603A.215"", sectionTitle=""Security measures for data collector that accepts payment card; use of encryption; liability for damages; applicability"")
s1 = Section(""1."")
s.add_subsection(s1)
r = Rule(s1, Expression(s1, ""the data collector""))
r.conditions.append(Expression(s1, ""data collector doing business in this State accepts a payment card in connection with a sale of goods or services""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(s1, ""shall comply with the current version of the Payment Card Industry (PCI) Data Security Standard, as adopted by the PCI Security Standards Council or its successor organization, with respect to those transdescriptions, not later than the date for compliance set forth in the Payment Card Industry (PCI) Data Security Standard or by the PCI Security Standards Council or its successor organization"")","['#obligation', '#condition']"
