text,code,tags
"§ 899-aa. Notification; person without valid authorization has acquired private information. 1. As used in this section, the following terms shall have the following meanings:
(a) ""Personal information"" shall mean any information concerning a natural person which, because of name, number, personal mark, or other identifier, can be used to identify such natural person;","s = Section(sectionNumber=""§ 899-aa"", sectionTitle=""Notification; person without valid authorization has acquired private information"")
s1 = Section(""1."")
s.add_subsection(s1)
i=Information(s1, Expression(s1, ""As used in this section, the following terms shall have the following meanings:""))
s1a = Section(""(a)"")
s1.add_subsection(s1a)
d1 = Definition(s1a, Expression(s1a, ""Personal information""))
d1.meaning.append(Expression(s1a, ""any information concerning a natural person which, because of name, number, personal mark, or other identifier, can be used to identify such natural person""))","{'#definition', '#information'}"
"(b) ""Private information"" shall mean either: (i) personal information consisting of any information in combination with any one or more of the following data elements, when either the data element or the combination of personal information plus the data element is not encrypted, or is encrypted with an encryption key that has also been accessed or acquired:
(1) social security number;
(2) driver's license number or non-driver identification card number;
(3) account number, credit or debit card number, in combination with any required security code, access code, password or other information that would permit access to an individual's financial account;
(4) account number, credit or debit card number, if circumstances exist wherein such number could be used to access an individual's financial account without additional identifying information, security code, access code, or password; or
(5) biometric information, meaning data generated by electronic measurements of an individual's unique physical characteristics, such as a fingerprint, voice print, retina or iris image, or other unique physical representation or digital representation of biometric data which are used to authenticate or ascertain the individual's identity; or
(6) medical information; or
(7) health insurance information; or
(ii) a user name or e-mail address in combination with a password or security question and answer that would permit access to an online account.
""Private information"" does not include publicly available information which is lawfully made available to the general public from federal, state, or local government records.
For the purposes of this paragraph, ""medical information"" means any information regarding an individual's medical history, mental or physical condition, or medical treatment or diagnosis by a health care professional.
For the purposes of this paragraph, ""health insurance information"" means an individual's health insurance policy number or subscriber identification number, any unique identifier used by a health insurer to identify the individual or any information in an individual's application and claims history, including, but not limited to, appeals history.","sec = Section(sectionNumber=""(b)"")
d = Definition(sec, Expression(sec, ""Private information""))
s=Section(""(i)"")
sec.add_subsection(s)
d.meaning.append(Expression(s, ""personal information consisting of any information in combination with any one or more of the following data elements, when either the data element or the combination of personal information plus the data element is not encrypted, or is encrypted with an encryption key that has also been accessed or acquired""))
s1=Section(""(1)"")
s.add_subsection(s1)
d.meaning[-1].includes.append(Expression(s1, ""social security number""))
s2=Section(""(2)"")
s.add_subsection(s2)
d.meaning[-1].includes.append(Expression(s2, ""driver's license number or non-driver identification card number""))
s3=Section(""(3)"")
s.add_subsection(s3)
d.meaning[-1].includes.append(Expression(s3, ""account number, credit or debit card number, in combination with any required security code, access code, password or other information that would permit access to an individual's financial account""))
s4=Section(""(4)"")
s.add_subsection(s4)
d.meaning[-1].includes.append(Expression(s4, ""account number, credit or debit card number, if circumstances exist wherein such number could be used to access an individual's financial account without additional identifying information, security code, access code, or password""))
s5=Section(""(5)"")
s.add_subsection(s5)
d.meaning[-1].includes.append(Expression(s5, ""biometric information, meaning data generated by electronic measurements of an individual's unique physical characteristics, such as a fingerprint, voice print, retina or iris image, or other unique physical representation or digital representation of biometric data which are used to authenticate or ascertain the individual's identity""))
s6=Section(""(6)"")
s.add_subsection(s6)
d.meaning[-1].includes.append(Expression(s6, ""medical information""))
s7=Section(""(7)"")
s.add_subsection(s7)
d.meaning[-1].includes.append(Expression(s7, ""health insurance information""))
s_ii=Section(""(ii)"")
sec.add_subsection(s_ii)
d.meaning.append(Expression(s_ii, ""a user name or e-mail address in combination with a password or security question and answer that would permit access to an online account""))
d.exclusions.append(Expression(sec, ""publicly available information which is lawfully made available to the general public from federal, state, or local government records""))

# Sub-definitions within the paragraph
d_medical_info = Definition(sec, Expression(sec, ""medical information""))
d_medical_info.meaning.append(Expression(s, ""any information regarding an individual's medical history, mental or physical condition, or medical treatment or diagnosis by a health care professional""))

d_health_insurance_info = Definition(sec, Expression(sec, ""health insurance information""))
d_health_insurance_info.meaning.append(Expression(s, ""an individual's health insurance policy number or subscriber identification number, any unique identifier used by a health insurer to identify the individual or any information in an individual's application and claims history, including, but not limited to, appeals history""))","{'#exclusion', '#definition', '#continuation'}"
"(c) ""Breach of the security of the system"" shall mean unauthorized access to or acquisition of, or access to or acquisition without valid authorization, of computerized data that compromises the security, confidentiality, or integrity of private information maintained by a business. Good faith access to, or acquisition of, private information by an employee or agent of the business for the purposes of the business is not a breach of the security of the system, provided that the private
information is not used or subject to unauthorized disclosure.

In determining whether information has been accessed, or is reasonably believed to have been accessed, by an unauthorized person or a person without valid authorization, such business may consider, among other
factors, indications that the information was viewed, communicated with, used, or altered by a person without valid authorization or by an unauthorized person.

In determining whether information has been acquired, or is reasonably believed to have been acquired, by an unauthorized person or a person without valid authorization, such business may consider the following factors, among others:
(1) indications that the information is in the physical possession and control of an unauthorized person, such as a lost or stolen computer or other device containing information; or
(2) indications that the information has been downloaded or copied; or
(3) indications that the information was used by an unauthorized person, such as fraudulent accounts opened or instances of identity theft reported.","s = Section(sectionNumber=""(c)"")
d = Definition(s, Expression(s, ""Breach of the security of the system""))
d.meaning.append(Expression(s, ""unauthorized access to or acquisition of, or access to or acquisition without valid authorization, of computerized data that compromises the security, confidentiality, or integrity of private information maintained by a business.""))
d.exclusions.append(Expression(s, ""Good faith access to, or acquisition of, private information by an employee or agent of the business for the purposes of the business is not a breach of the security of the system, provided that the private information is not used or subject to unauthorized disclosure""))

r1=Rule(s, Expression(s, ""such business""))
r1.rule_type=Rule.PERMISSION
r1.description=Expression(s, ""may consider, among other factors, indications that the information was viewed, communicated with, used, or altered by a person without valid authorization or by an unauthorized person"")
r1.conditions.append(Expression(s, ""In determining whether information has been accessed, or is reasonably believed to have been accessed, by an unauthorized person or a person without valid authorization""))

r2=Rule(s, Expression(s, ""such business""))
r2.rule_type=Rule.PERMISSION
r2.description=Expression(s, ""may consider the following factors, among others:"")
r2.conditions.append(Expression(s, ""In determining whether information has been acquired, or is reasonably believed to have been acquired, by an unauthorized person or a person without valid authorization""))
s2_1 = Section(""(1)"")
s.add_subsection(s2_1)
r2.description.includes.append(Expression(s2_1, ""indications that the information is in the physical possession and control of an unauthorized person, such as a lost or stolen computer or other device containing information""))
s2_2 = Section(""(2)"")
s.add_subsection(s2_2)
r2.description.includes.append(Expression(s2_2, ""indications that the information has been downloaded or copied""))
s2_3 = Section(""(3)"")
s.add_subsection(s2_3)
r2.description.includes.append(Expression(s2_3, ""indications that the information was used by an unauthorized person, such as fraudulent accounts opened or instances of identity theft reported""))","{'#definition', '#continuation', '#condition', '#exclusion', '#permission'}"
"(d) ""Consumer reporting agency"" shall mean any person which, for monetary fees, dues, or on a cooperative nonprofit basis, regularly engages in whole or in part in the practice of assembling or evaluating consumer credit information or other information on consumers for the purpose of furnishing consumer reports to third parties, and which uses
any means or facility of interstate commerce for the purpose of preparing or furnishing consumer reports. A list of consumer reporting agencies shall be compiled by the state attorney general and furnished upon request to any person or business required to make a notification under subdivision two of this section.","s_d = Section(""(d)"")
d1 = Definition(s_d, Expression(s_d, ""Consumer reporting agency""))
d1.meaning.append(Expression(s_d, ""any person which, for monetary fees, dues, or on a cooperative nonprofit basis, regularly engages in whole or in part in the practice of assembling or evaluating consumer credit information or other information on consumers for the purpose of furnishing consumer reports to third parties, and which uses any means or facility of interstate commerce for the purpose of preparing or furnishing consumer reports.""))

r1 = Rule(s_d, Expression(s_d, ""A list of consumer reporting agencies""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(s_d, ""shall be compiled by the state attorney general and furnished upon request to any person or business required to make a notification under subdivision two of this section"")
r1.add_is_followed_by(Expression(s_d, ""subdivision two of this section""))","{'#obligation', '#definition', '#followed_by'}"
"2. Any person or business which owns or licenses computerized data which includes private information shall disclose any breach of the security of the system following discovery or notification of the breach in the security of the system to any resident of New York state whose private information was, or is reasonably believed to have been, accessed or acquired by a person without valid authorization. The disclosure shall be made in the most expedient time possible and without
unreasonable delay, provided that such notification shall be made within thirty days after the breach has been discovered, except for the legitimate needs of law enforcement, as provided in subdivision four of this section.","s2 = Section(""2."")
r1 = Rule(s2, Expression(s2, ""person or business owns or licenses computerized data which includes private information""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(s2, ""shall disclose any breach of the security of the system following discovery or notification of the breach in the security of the system to any resident of New York state whose private information was, or is reasonably believed to have been, accessed or acquired by a person without valid authorization"")
r2 = Rule(s2, Expression(s2, ""The disclosure""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(s2, ""shall be made in the most expedient time possible and without unreasonable delay, provided that such notification shall be made within thirty days after the breach has been discovered"")
r2.add_exception(Expression(s2, ""the legitimate needs of law enforcement as provided in subdivision four of this section""))
r2.add_follows(Expression(s2, ""subdivision four of this section""))
r2.add_refines(r1)","{'#obligation', '#follows', '#exception', '#condition', '#refines'}"
"(a) Notice to affected persons under this section is not required if the exposure of private information was an inadvertent disclosure by persons authorized to access private information, and the person or business reasonably determines such exposure will not likely result in misuse of such information, or financial harm to the affected persons or emotional harm in the case of unknown disclosure of online credentials as found in subparagraph (ii) of paragraph (b) of subdivision one of this section. Such a determination must be documented in writing and maintained for at least five years. If the incident affects over five hundred residents of New York, the person or business shall provide the written determination to the state attorney general within ten days after the determination.","s = Section(sectionNumber=""(a)"")
e1 = Expression(s, ""Notice to affected persons under this section is not required if the exposure of private information was an inadvertent disclosure by persons authorized to access private information, and the person or business reasonably determines such exposure will not likely result in misuse of such information, or financial harm to the affected persons or emotional harm in the case of unknown disclosure of online credentials as found in subparagraph (ii) of paragraph (b) of subdivision one of this section."")
exemption = Exemption(s, e1)
exemption.add_is_followed_by(Expression(s, ""subparagraph (ii) of paragraph (b) of subdivision one of this section""))

e4 = Expression(s, ""Such a determination"")
r2=Rule(s, e4)
r2.rule_type = Rule.OBLIGATION
r2.description=Expression(s, ""must be documented in writing and maintained for at least five years"")
r2.add_refines(exemption)

r3 = Rule(s, Expression(s, ""the person or business""))
r3.rule_type = Rule.OBLIGATION
r3.description = Expression(s, ""shall provide the written determination to the state attorney general within ten days after the determination"")
r3.conditions.append(Expression(s, ""the incident affects over five hundred residents of New York, the person or business""))
r3.add_refines(exemption)","{'#obligation', '#condition', '#refines', '#exemption'}"
"(b) If notice of the breach of the security of the system is made to affected persons pursuant to the breach notification requirements under any of the following laws, nothing in this section shall require any additional notice to those affected persons, but notice still shall be provided to the state attorney general, the department of state and the division of state police pursuant to paragraph (a) of subdivision eight of this section and to consumer reporting agencies pursuant to paragraph(b) of subdivision eight of this section:
(i) regulations promulgated pursuant to Title V of the federal Gramm-Leach-Bliley Act (15 U.S.C. 6801 to 6809), as amended from time to time;
(ii) regulations implementing the Health Insurance Portability and Accountability Act of 1996 (45 C.F.R. parts 160 and 164), as amended from time to time, and the Health Information Technology for Economic and Clinical Health Act, as amended from time to time;
(iii) part five hundred of title twenty-three of the official compilation of codes, rules and regulations of the state of New York, as amended from time to time; or
(iv) any other data security rules and regulations of, and the statutes administered by, any official department, division, commission or agency of the federal or New York state government as such rules, regulations or statutes are interpreted by such department, division, commission or agency or by the federal or New York state courts.","s8b = Section(""(b)"")
exemption=Exemption(s8b, Expression(s8b, "" If notice of the breach of the security of the system is made to affected persons pursuant to the breach notification requirements under any of the following laws, nothing in this section shall require any additional notice to those affected persons:""))
r = Rule(s8b, Expression(s8b, ""notice""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(s8b, ""shall be provided to the state attorney general, the department of state and the division of state police pursuant to paragraph (a) of subdivision eight of this section and to consumer reporting agencies pursuant to paragraph (b) of subdivision eight of this section:"")
r.add_follows(Expression(s8b, ""paragraph (a) of subdivision eight of this section""))
r.add_follows(Expression(s8b, ""paragraph (b) of subdivision eight of this section""))
r.add_refines(exemption)
s8b1 = Section(""(i)"")
s8b.add_subsection(s8b1)
r.description.includes.append(Expression(s8b1, ""regulations promulgated pursuant to Title V of the federal Gramm-Leach-Bliley Act (15 U.S.C. 6801 to 6809), as amended from time to time""))
r.add_follows(Expression(s8b1, ""Title V of the federal Gramm-Leach-Bliley Act (15 U.S.C. 6801 to 6809)""))

s8b2 = Section(""(ii)"")
s8b.add_subsection(s8b2)
r.description.includes.append(Expression(s8b2, ""pursuant to regulations implementing the Health Insurance Portability and Accountability Act of 1996 (45 C.F.R. parts 160 and 164), as amended from time to time, and the Health Information Technology for Economic and Clinical Health Act, as amended from time to time""))
r.add_follows(Expression(s8b2, ""the Health Insurance Portability and Accountability Act of 1996 (45 C.F.R. parts 160 and 164)""))
r.add_follows(Expression(s8b2, ""the Health Information Technology for Economic and Clinical Health Act""))

s8b3 = Section(""(iii)"")
s8b.add_subsection(s8b3)
r.description.includes.append(Expression(s8b3, ""pursuant to part five hundred of title twenty-three of the official compilation of codes, rules and regulations of the state of New York, as amended from time to time""))
r.add_follows(Expression(s8b2, ""part five hundred of title twenty-three of the official compilation of codes, rules and regulations of the state of New York""))

s8b4 = Section(""(iv)"")
s8b.add_subsection(s8b4)
r.description.includes.append(Expression(s8b4, ""any other data security rules and regulations of, and the statutes administered by, any official department, division, commission or agency of the federal or New York state government as such rules, regulations or statutes are interpreted by such department, division, commission or agency or by the federal or New York state courts""))","{'#continuation', '#obligation', '#follows', '#exemption', '#condition'}"
"3. Any person or business which maintains computerized data which includes private information which such person or business does not own shall notify the owner or licensee of the information of any breach of the security of the system immediately, provided that such notification shall be made within thirty days following discovery, if the private information was, or is reasonably believed to have been, accessed or acquired by a person without valid authorization.","s3 = Section(""3."")
r3 = Rule(s3, Expression(s3, ""Any person or business maintains computerized data which includes private information which such person or business does not own""))
r3.rule_type = Rule.OBLIGATION
r3.description = Expression(s3, ""shall notify the owner or licensee of the information of any breach of the security of the system immediately"")
r3.conditions.append(Expression(s3, ""provided that such notification shall be made within thirty days following discovery, if the private information was, or is reasonably believed to have been, accessed or acquired by a person without valid authorization""))","{'#obligation', '#condition'}"
4. The notification required by this section may be delayed if a law enforcement agency determines that such notification impedes a criminal investigation. The notification required by this section shall be made after such law enforcement agency determines that such notification does not compromise such investigation.,"s4 = Section(""4."")
r1 = Rule(s4, Expression(s4, ""The notification required by this section""))
r1.rule_type = Rule.PERMISSION
r1.description = Expression(s4, ""may be delayed"")
r1.conditions.append(Expression(s4, ""a law enforcement agency determines that such notification impedes a criminal investigation""))
r1.add_is_exception_to(Expression(s4, ""this section""))

r2 = Rule(s4, Expression(s4, ""The notification required by this section""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(s4, ""shall be made"")
r2.conditions.append(Expression(s4, ""such law enforcement agency determines that such notification does not compromise such investigation""))
r2.add_refines(r1)","{'#obligation', '#condition', '#refines', '#exception_to'}"
"5. The notice required by this section shall be directly provided to the affected persons by one of the following methods:
(a) written notice;
(b) electronic notice, provided that the person to whom notice is required has expressly consented to receiving said notice in electronic form and a log of each such notification is kept by the person or business who notifies affected persons in such form; provided further, however, that in no case shall any person or business require a person to consent to accepting said notice in said form as a condition of establishing any business relationship or engaging in any transaction.
(c) telephone notification provided that a log of each such notification is kept by the person or business who notifies affected persons; or
(d) substitute notice, if a business demonstrates to the state attorney general that the cost of providing notice would exceed two hundred fifty thousand dollars, or that the affected class of subject persons to be notified exceeds five hundred thousand, or such business does not have sufficient contact information. Substitute notice shall consist of all of the following:
(1) e-mail notice when such business has an e-mail address for the subject persons, except if the breached information includes an e-mail address in combination with a password or security question and answer that would permit access to the online account, in which case the person or business shall instead provide clear and conspicuous notice delivered to the consumer online when the consumer is connected to the online account from an internet protocol address or from an online location which the person or business knows the consumer customarily uses to access the online account;
(2) conspicuous posting of the notice on such business's web site page, if such business maintains one; and
(3) notification to major statewide media.","s = Section(sectionNumber=""5."")
r = Rule(s, Expression(s, ""The notice required by this section""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(s, ""shall be directly provided to the affected persons by one of the following methods"")
s.add_subsection(r)

s5a = Section(""(a)"")
s.add_subsection(s5a)
r.description.includes.append(Expression(s5a, ""written notice""))

s5b = Section(""(b)"")
s.add_subsection(s5b)
r.description.includes.append(Expression(s5b, ""electronic notice, provided that the person to whom notice is required has expressly consented to receiving said notice in electronic form and a log of each such notification is kept by the person or business who notifies affected persons in such form, further, however, that in no case shall any person or business require a person to consent to accepting said notice in said form as a condition of establishing any business relationship or engaging in any transaction""))

s5c = Section(""(c)"")
s.add_subsection(s5c)
r.description.includes.append(Expression(s5c, ""telephone notification, provided that a log of each such notification is kept by the person or business who notifies affected persons""))

s5d = Section(""(d)"")
s.add_subsection(s5d)
r.description.includes.append(Expression(s5d, ""substitute notice if a business demonstrates to the state attorney general that the cost of providing notice would exceed two hundred fifty thousand dollars, or that the affected class of subject persons to be notified exceeds five hundred thousand, or such business does not have sufficient contact information""))

r1= Rule(s5d, Expression(s5d, ""Substitute notice""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(s, ""shall consist of all of the following"")
r1.add_refines(r.description.includes[-1])

s5d1 = Section(""(1)"")
s5d.add_subsection(s5d1)
r1.description.includes.append(Expression(s5d1, ""e-mail notice when such business has an e-mail address for the subject persons except if the breached information includes an e-mail address in combination with a password or security question and answer that would permit access to the online account, in which case the person or business shall instead provide clear and conspicuous notice delivered to the consumer online when the consumer is connected to the online account from an internet protocol address or from an online location which the person or business knows the consumer customarily uses to access the online account""))

s5d2 = Section(""(2)"")
s5d.add_subsection(s5d2)
r.description.includes.append(Expression(s5d2, ""conspicuous posting of the notice on such business's web site page, if such business maintains one""))

s5d3 = Section(""(3)"")
s5d.add_subsection(s5d3)
r.description.includes.append(Expression(s5d3, ""notification to major statewide media""))","{'#obligation', '#condition', '#exception', '#refines', '#continuation'}"
