text,code,tags
"Section 1: Definitions
Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
'Agency'', any agency, executive office, department, board, commission, bureau, division or authority of the commonwealth, or any of its branches, or of any political subdivision thereof.","s = Section(sectionNumber=""1"", sectionTitle=""Definitions"")

s_a = Section(""(a)"")
s.add_subsection(s_a)

d = Definition(s_a, Expression(s_a, ""Agency""))
d.meaning.append(Expression(s_a, ""any agency, executive office, department, board, commission, bureau, division or authority of the commonwealth, or any of its branches, or of any political subdivision thereof""))","['#information', '#definition']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
''Breach of security'', the unauthorized acquisition or unauthorized use of unencrypted data or, encrypted electronic data and the confidential process or key that is capable of compromising the security, confidentiality, or integrity of personal information, maintained by a person or agency that creates a substantial risk of identity theft or fraud against a resident of the commonwealth. A good faith but unauthorized acquisition of personal information by a person or agency, or employee or agent thereof, for the lawful purposes of such person or agency, is not a breach of security unless the personal information is used in an unauthorized manner or subject to further unauthorized disclosure.","s = Section(sectionNumber=""1"")

d = Definition(s, Expression(s, ""Breach of security""))
d.meaning.append(Expression(s, ""the unauthorized acquisition or unauthorized use of unencrypted data or, encrypted electronic data and the confidential process or key that is capable of compromising the security, confidentiality, or integrity of personal information, maintained by a person or agency that creates a substantial risk of identity theft or fraud against a resident of the commonwealth""))
d.exclusions.append(Expression(s, ""A good faith but unauthorized acquisition of personal information by a person or agency, or employee or agent thereof, for the lawful purposes of such person or agency, is not a breach of security unless the personal information is used in an unauthorized manner or subject to further unauthorized disclosure""))","['#definition', '#exclusion',  '#information']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
''Data'' any material upon which written, drawn, spoken, visual, or electromagnetic information or images are recorded or preserved, regardless of physical form or characteristics.","s = Section(sectionNumber=""1"")
sa = Section(""(a)"")
s.add_subsection(sa)

e2 = Expression(sa, ""Data"")
d1 = Definition(sa, e2)
d1.meaning.append(Expression(sa, ""any material upon which written, drawn, spoken, visual, or electromagnetic information or images are recorded or preserved, regardless of physical form or characteristics""))","['#definition', '#information']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
''Electronic'', relating to technology having electrical, digital, magnetic, wireless, optical, electromagnetic or similar capabilities.","s = Section(sectionNumber=""1"")

sa = Section(""(a)"")
s.add_subsection(sa) 

defined_expression = Expression(sa, ""'Electronic'"")
d = Definition(sa, defined_expression)
meaning_expression = Expression(sa, ""relating to technology having electrical, digital, magnetic, wireless, optical, electromagnetic or similar capabilities"")
d.meaning.append(meaning_expression)","['#definition', '#information']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
''Encrypted'' transformation of data through the use of a 128–bit or higher algorithmic process into a form in which there is a low probability of assigning meaning without use of a confidential process or key, unless further defined by regulation of the department of consumer affairs and business regulation.","main_section = Section(sectionNumber=""1."", sectionTitle="""")

sub_section_a = Section(""(a)"")
main_section.add_subsection(sub_section_a)

d = Definition(sub_section_a, Expression(sub_section_a, ""Encrypted""))
d.meaning.append(Expression(sub_section_a, ""transformation of data through the use of a 128–bit or higher algorithmic process into a form in which there is a low probability of assigning meaning without use of a confidential process or key""))
d.add_exception(Expression(sub_section_a, ""unless further defined by regulation of the department of consumer affairs and business regulation""))","['#definition', '#information']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
''Notice'' shall include:—
(i) written notice;
(ii) electronic notice, if notice provided is consistent with the provisions regarding electronic records and signatures set forth in § 7001 (c) of Title 15 of the United States Code; and chapter 110G; or
(iii) substitute notice, if the person or agency required to provide notice demonstrates that the cost of providing written notice will exceed $250,000, or that the affected class of Massachusetts residents to be notified exceeds 500,000 residents, or that the person or agency does not have sufficient contact information to provide notice.","# Creation of the Section object for Section 1 with subsection (a)
s = Section(sectionNumber=""1"")
sa = Section(""(a)"")
s.add_subsection(sa)

d_notice = Definition(sa, Expression(sa, ""Notice""))

sai = Section(""(i)"")
sa.add_subsection(sai)
d_notice.meaning.append(Expression(sai, ""written notice""))

saii = Section(""(ii)"")
sa.add_subsection(saii)
e_electronic_notice = Expression(saii, ""electronic notice, if notice provided is consistent with the provisions regarding electronic records and signatures set forth in § 7001 (c) of Title 15 of the United States Code; and chapter 110G"")
d_notice.meaning.append(e_electronic_notice)

d_notice.add_follows(Expression(saii, ""§ 7001 (c) of Title 15 of the United States Code""))
d_notice.add_follows(Expression(saii, ""chapter 110G""))

saiii = Section(""(iii)"")
sa.add_subsection(saiii)
e_substitute_notice = Expression(saiii, ""substitute notice, if the person or agency required to provide notice demonstrates that substitute notice, if the person or agency required to provide notice demonstrates that the cost of providing written notice will exceed $250,000, or that the affected class of Massachusetts residents to be notified exceeds 500,000 residents, or that the person or agency does not have sufficient contact information to provide notice"")
d_notice.meaning.append(e_substitute_notice)","['#definition', '#follows', '#continuation', '#information']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
''Person'', a natural person, corporation, association, partnership or other legal entity.","section1 = Section(sectionNumber=""1"")

subsection_a = Section(""(a)"")
section1.add_subsection(subsection_a) 

person_expression = Expression(subsection_a, ""Person"")
definition_person = Definition(subsection_a, person_expression)

meaning_expression = Expression(subsection_a, ""a natural person, corporation, association, partnership or other legal entity"")
definition_person.meaning.append(meaning_expression)","['#definition', '#information']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
'Personal information'' a resident's first name and last name or first initial and last name in combination with any 1 or more of the following data elements that relate to such resident:
(a) Social Security number;
(b) driver's license number or state-issued identification card number; or
(c) financial account number, or credit or debit card number, with or without any required security code, access code, personal identification number or password, that would permit access to a resident's financial account; provided, however, that ''Personal information'' shall not include information that is lawfully obtained from publicly available information, or from federal, state or local government records lawfully made available to the general public.","s1 = Section(sectionNumber=""Section 1"", sectionTitle="""")

sa = Section(""(a)"")
s1.add_subsection(sa)

e_personal_info = Expression(section=sa, text=(""Personal information""))

d_personal_info = Definition(sa, defined_term=e_personal_info)

d_meaning_exp = Expression(sa, ""a resident's first name and last name or first initial and last name in combination with any 1 or more of the following data elements that relate to such resident:"")
d_personal_info.meaning.append(d_meaning_exp)

sa_a = Section(""(a)"")
sa.add_subsection(sa_a)
e_ssn = Expression(sa_a, ""Social Security number"")
sa_b = Section(""(b)"")
sa.add_subsection(sa_b)
e_dl = Expression(sa_b, ""driver's license number or state-issued identification card number"")
sa_c = Section(""(c)"")
sa.add_subsection(sa_c)
e_financial = Expression(sa, ""financial account number, or credit or debit card number, with or without any required security code, access code, personal identification number or password, that would permit access to a resident's financial account"")

d_meaning_exp.includes.extend([e_ssn, e_dl, e_financial])

e_exclusion = Expression( sa, (""information that is lawfully obtained from publicly available information, or from federal, state or local government records lawfully made available to the general public""))

d_personal_info.exclusions.append(e_exclusion)","['#exclusion', '#continuation', '#definition', '#information']"
"Section 1. (a) As used in this chapter, the following words shall, unless the context clearly requires otherwise, have the following meanings:—
Substitute notice'', shall consist of all of the following:—
(i) electronic mail notice, if the person or agency has electronic mail addresses for the members of the affected class of Massachusetts residents;
(ii) clear and conspicuous posting of the notice on the home page of the person or agency if the person or agency maintains a website; and
(iii) publication in or broadcast through media or medium that provides notice throughout the commonwealth.","s1 = Section(""1"")
sa = Section(""(a)"")
s1.add_subsection(sa)

substitute_notice_expression = Expression(sa, ""Substitute notice"")
definition = Definition(sa, substitute_notice_expression)
definition.meaning.append(Expression(sa, ""shall consist of all of the following:""))

sia = Section(""(i)"")
sa.add_subsection(sia)
definition.meaning[0].includes.append(Expression(sia, ""electronic mail notice, if the person or agency has electronic mail addresses for the members of the affected class of Massachusetts residents""))

sii = Section(""(ii)"")
sa.add_subsection(sii)
definition.meaning[0].includes.append(Expression(sii, ""clear and conspicuous posting of the notice on the home page of the person or agency if the person or agency maintains a website""))

siii = Section(""(iii)"")
sa.add_subsection(siii)
definition.meaning[0].includes.append(Expression(siii, ""publication in or broadcast through media or medium that provides notice throughout the commonwealth""))","['#definition', '#continuation', '#information']"
"Section 1: (b) The department of consumer affairs and business regulation may adopt regulations, from time to time, to revise the definition of ''encrypted'', as used in this chapter, to reflect applicable technological advancements.","s1 = Section(sectionNumber=""1"")
s1b = Section(""(b)"")
s1.add_subsection(s1b)

r = Rule(s1b, Expression(s1b, ""The department of consumer affairs and business regulation""))
r.rule_type = Rule.PERMISSION
r.description = Expression(s1b, ""may adopt regulations, from time to time, to revise the definition of 'encrypted', as used in this chapter, to reflect applicable technological advancements"")",['#permission']
