text,code,tags
"13-44-101.  Title.
     This chapter is known as the ""Protection of Personal Information Act.""","s = Section(sectionNumber=""13-44-101"", sectionTitle=""Title."")
i = Information(s, Expression(s, ""This chapter is known as the 'Protection of Personal Information Act.'""))",['#information']
"13-44-102.  Definitions.
As used in this chapter:
(1) (a) ""Breach of system security"" means an unauthorized acquisition of computerized data maintained by a person that compromises the security, confidentiality, or integrity of personal information.
(b) ""Breach of system security"" does not include the acquisition of personal information by an employee or agent of the person possessing unencrypted computerized data unless the personal information is used for an unlawful purpose or disclosed in an unauthorized manner.","s = Section(sectionNumber=""13-44-102"", sectionTitle=""Definitions"")

d = Definition(s1, Expression(s1, ""Breach of system security""))
s1a = Section(""(a)"")
s1.add_subsection(s1a)
d.meaning.append(Expression(s1a, ""an unauthorized acquisition of computerized data maintained by a person that compromises the security, confidentiality, or integrity of personal information""))
s1b = Section(""(b)"")
s1.add_subsection(s1b)
d.exclusions.append(Expression(s1b, ""the acquisition of personal information by an employee or agent of the person possessing unencrypted computerized data unless the personal information is used for an unlawful purpose or disclosed in an unauthorized manner""))","['#definition', '#exclusion']"
"13-44-102.  Definitions.
As used in this chapter:
(2) ""Consumer"" means a natural person.","s = Section(sectionNumber=""13-44-102"", sectionTitle=""Definitions"")

s_2 = Section(""(2)"")
s.add_subsection(s_2)

definition_consumer = Definition(s_2, Expression(s_2, ""Consumer""))
definition_consumer.meaning.append(Expression(s_2, ""a natural person""))",['#definition']
"13-44-102.  Definitions.
As used in this chapter:
(3) ""Financial institution"" means the same as that term is defined in 15 U.S.C. Sec. 6809.","s = Section(""13-44-102"", ""Definitions"")
s_3 = Section(""(3)"")
s.add_subsection(s_3)
d = Definition(s_3, Expression(s_3, ""Financial institution""))
d.meaning.append(Expression(s_3, ""the same as that term is defined in 15 U.S.C. Sec. 6809""))
ref1 = Reference(s_3, ""15 U.S.C. Sec. 6809"", target=d)
d.add_is_refined_by(ref1)","['#definition', '#reference', '#is_refined_by']"
"13-44-102.  Definitions.
As used in this chapter:
(4) (a)""Personal information"" means a person's first name or first initial and last name, combined with any one or more of the following data elements relating to that person when either the name or date element is unencrypted or not protected by another method that renders the data unreadable or unusable:
(i)Social Security number;
(ii)
(A) financial account number, or credit or debit card number; and
(B) any required security code, access code, or password that would permit access to the person's account; or
(iii) driver license number or state identification card number.
(b) ""Personal information"" does not include information regardless of its source, contained in federal, state, or local government records or in widely distributed media that are lawfully made available to the general public.","s = Section(sectionNumber=""13-44-102"", sectionTitle=""Definitions"")

s4 = Section(""(4)"")
s.add_subsection(s4)
d = Definition(s4, Expression(s4, ""Personal information""))

s4a = Section(""(a)"")
s4.add_subsection(s4a)
meaning_exp = Expression(s4a, ""a person's first name or first initial and last name, combined with any one or more of the following data elements relating to that person when either the name or date element is unencrypted or not protected by another method that renders the data unreadable or unusable:"")
d.meaning.append(meaning_exp)

s4ai = Section(""(i)"")
s4a.add_subsection(s4ai)
e_ssn = Expression(s4ai, ""Social Security number"")
meaning_exp.includes.append(e_ssn)

s4aii = Section(""(ii)"")
s4a.add_subsection(s4aii)

s4aiiA = Section(""(A)"")
s4aii.add_subsection(s4aiiA)
e_financial = Expression(s4aiiA, ""financial account number, or credit or debit card number"")
meaning_exp.includes.append(e_financial)

s4aiiB = Section(""(B)"")
s4aii.add_subsection(s4aiiB)
e_access = Expression(s4aiiB, ""any required security code, access code, or password that would permit access to the person's account"")
meaning_exp.includes.append(e_access)

s4aiii = Section(""(iii)"")
s4a.add_subsection(s4aiii)
e_dl = Expression(s4aiii, ""driver license number or state identification card number"")
meaning_exp.includes.append(e_dl)

s4b = Section(""(b)"")
s4.add_subsection(s4b)
e_exclusion = Expression(s4b, ""information regardless of its source, contained in federal, state, or local government records or in widely distributed media that are lawfully made available to the general public"")
d.exclusions.append(e_exclusion)","['#definition', '#exclusion', '#continuation']"
"13-44-102.  Definitions.
As used in this chapter:
(5) ""Record"" includes materials maintained in any form, including paper and electronic.","s = Section(sectionNumber=""13-44-102"", sectionTitle=""Definitions"")
s5 = Section(""(5)"")
s.add_subsection(s5)
d = Definition(s5, Expression(s5, ""Record""))
d.meaning.append(Expression(s5, ""materials maintained in any form, including paper and electronic""))",['#definition']
"13-44-103.  Applicability.
This chapter does not apply to a financial institution or an affiliate, as defined in 15 U.S.C. Sec. 6809, of a financial institution.","s = Section(sectionNumber=""13-44-103"", sectionTitle=""Applicability"")
ex = Expression(s, ""This chapter does not apply to a financial institution or an affiliate, as defined in 15 U.S.C. Sec. 6809, of a financial institution."")
e = Exemption(s, ex)
ref1 = Reference(s, ""15 U.S.C. Sec. 6809"", target=e)
e.add_is_refined_by(ref1)","['#refined_by', '#reference', '#exemption']"
"13-44-201.  Protection of personal information.
(1) Any person who conducts business in the state and maintains personal information shall implement and maintain reasonable procedures to:
(a) prevent unlawful use or disclosure of personal information collected or maintained in the regular course of business; and
(b) destroy, or arrange for the destruction of, records containing personal information that are not to be retained by the person.","s = Section(sectionNumber=""13-44-201"", sectionTitle=""Protection of personal information"")
s_1 = Section(""(1)"")
s.add_subsection(s_1)

rule_expression = Expression(s_1, ""Any person who conducts business in the state and maintains personal information"")
r1 = Rule(s_1, rule_expression)
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(s_1, ""shall implement and maintain reasonable procedures to:"")

s_1a = Section(""(a)"")
s_1.add_subsection(s_1a)
expr_1a = Expression(s_1a, ""prevent unlawful use or disclosure of personal information collected or maintained in the regular course of business"")
r1.description.includes.append(expr_1a)

s_1b = Section(""(b)"")
s_1.add_subsection(s_1b)
expr_1b = Expression(s_1b, ""destroy, or arrange for the destruction of, records containing personal information that are not to be retained by the person"")
r1.description.includes.append(expr_1b)","['#obligation', '#continuation']"
"13-44-201.  Protection of personal information.
(2) The destruction of records under Subsection (1)(b) shall be by:
(a) shredding;
(b) erasing; or
(c) otherwise modifying the personal information to make the information indecipherable.","s = Section(sectionNumber=""13-44-201"", sectionTitle=""Protection of personal information"")
sb2 = Section(""(2)"")
s.add_subsection(sb2)

r = Rule(sb2, Expression(sb2, ""The destruction of records under Subsection (1)(b)""))
r.rule_type = Rule.OBLIGATION
r.description = Expression(sb2, ""shall be by:"")
ref1=Reference(sb2, ""Subsection (1)(b)"", target=r)
r.add_follows(ref1)

sba = Section(""(a)"")
sb2.add_subsection(sba)
r.description.includes.append(Expression(sba, ""shredding""))

sbb = Section(""(b)"")
sb2.add_subsection(sbb)
r.description.includes.append(Expression(sbb, ""erasing""))

sbc = Section(""(c)"")
sb2.add_subsection(sbc)
r.description.includes.append(Expression(sbc, ""otherwise modifying the personal information to make the information indecipherable""))","['#obligation', '#continuation', '#reference', '#follows']"
"13-44-202.  Personal information -- Disclosure of system security breach.
(1)
(a)
A person who owns or licenses computerized data that includes personal information concerning a Utah resident shall, when the person becomes aware of a breach of system security, conduct in good faith a reasonable and prompt investigation to determine the likelihood that personal information has been or will be misused for identity theft or fraud purposes.
(b)
If an investigation under Subsection (1)(a) reveals that the misuse of personal information for identity theft or fraud purposes has occurred, or is reasonably likely to occur, the person shall provide notification to each affected Utah resident.
(c)
If an investigation under Subsection (1)(a) reveals that the misuse of personal information relating to 500 or more Utah residents, for identity theft or fraud purposes, has occurred or is reasonably likely to occur, the person shall, in addition to the notification required in Subsection (1)(b), provide notification to:
(i)
the Office of the Attorney General; and
(ii)
the Utah Cyber Center created in Section 63A-16-1102.
(d)
If an investigation under Subsection (1)(a) reveals that the misuse of personal information relating to 1,000 or more Utah residents, for identity theft or fraud purposes, has occurred or is reasonably likely to occur, the person shall, in addition to the notification required in Subsections (1)(b) and (c), provide notification to each consumer reporting agency that compiles and maintains files on consumers on a nationwide basis, as defined in 15 U.S.C. Sec. 1681a.","s1 = Section(""(1)"")

# Section 13-44-202 Personal information -- Disclosure of system security breach

# Obligation to conduct investigation upon awareness of breach
s1a = Section(""(a)"")
s1.add_subsection(s1a)
r1 = Rule(s1a, Expression(s1a, ""A person who owns or licenses computerized data that includes personal information concerning a Utah resident""))
r1.rule_type = Rule.OBLIGATION
r1.description = Expression(s1a, ""shall, when the person becomes aware of a breach of system security, conduct in good faith a reasonable and prompt investigation to determine the likelihood that personal information has been or will be misused for identity theft or fraud purposes"")

# Obligation to notify affected residents if misuse of personal information is revealed
s1b = Section(""(b)"")
s1.add_subsection(s1b)
r2 = Rule(s1b, Expression(s1b, ""the person""))
r2.rule_type = Rule.OBLIGATION
r2.description = Expression(s1b, ""shall provide notification to each affected Utah resident"")
r2.conditions.append(Expression(s1b, ""If an investigation under Subsection (1)(a) reveals that the misuse of personal information for identity theft or fraud purposes has occurred, or is reasonably likely to occur""))
r2.add_refines(r1)

# Obligation to notify Attorney General and Utah Cyber Center if misuse relates to 500 or more residents
s1c = Section(""(c)"")
s1.add_subsection(s1c)
r3 = Rule(s1c, Expression(s1c, ""the person""))
r3.rule_type = Rule.OBLIGATION
r3.description = Expression(s1c, ""shall, in addition to the notification required in Subsection (1)(b), provide notification to:"")
r3.add_refines(r2)
r3.conditions.append(Expression(s1c, ""If an investigation under Subsection (1)(a) reveals that the misuse of personal information relating to 500 or more Utah residents, for identity theft or fraud purposes, has occurred or is reasonably likely to occur""))
r3.add_follows(r1)

s1ci = Section(""(i)"")
s1c.add_subsection(s1ci)
e3a = Expression(s1ci, ""the Office of the Attorney General"")
r3.description.includes.append(e3a)

s1cii = Section(""(ii)"")
s1c.add_subsection(s1cii)
e3b = Expression(s1cii, ""the Utah Cyber Center created in Section 63A-16-1102"")
r3.description.includes.append(e3b)
ref1=Reference(s1cii, ""Section 63A-16-1102"", target=r3)
r3.add_follows(ref1)

# Obligation to notify consumer reporting agencies if misuse relates to 1,000 or more residents
s1d = Section(""(d)"")
s1.add_subsection(s1d)
r4 = Rule(s1d, Expression(s1d, ""the person""))
r4.rule_type = Rule.OBLIGATION
r4.description = Expression(s1d, ""shall, in addition to the notification required in Subsections (1)(b) and (c), provide notification to each consumer reporting agency that compiles and maintains files on consumers on a nationwide basis, as defined in 15 U.S.C. Sec. 1681a"")
r4.conditions.append(Expression(s1d, ""If an investigation under Subsection (1)(a) reveals that the misuse of personal information relating to 1,000 or more Utah residents, for identity theft or fraud purposes, has occurred or is reasonably likely to occur""))
ref2=Reference(s1d, ""15 U.S.C. Sec. 1681a"", target=r4)
r4.add_is_refined_by(ref2)
r4.add_refines(r3)
r4.add_refines(r2)
r4.add_follows(r1)","['#obligation', '#continuation', '#reference', '#refined_by', '#condition', '#follows', '#refines']"
