text,code,tags
"4-110-101. Short title.
This chapter shall be known and cited as the ""Personal Information Protection Act"".","s = Section(sectionNumber=""4-110-101"", sectionTitle=""Short title."")
r = Information(s, Expression(s, ""This chapter be known and cited as the 'Personal Information Protection Act'""))",['#information']
"4-110-102. Findings and purpose.
(a) It is the intent of the General Assembly to ensure that sensitive personal information about Arkansas residents is protected.
(b) To that end, the purpose of this chapter is to encourage individuals, businesses, and state agencies that acquire, own, or license personal information about the citizens of the State of Arkansas to provide reasonable security for the information.","s = Section(sectionNumber=""4-110-102"", sectionTitle=""Findings and purpose"")
s1 = Section(""a"")
s.add_subsection(s1)
e1 = Expression(s1, ""It is the intent of the General Assembly to ensure that sensitive personal information about Arkansas residents is protected"")
i1=Information(s1, e1)
s2 = Section(""b"")
s.add_subsection(s2)
e2 = Expression(s2, ""To that end, the purpose of this chapter is to encourage individuals, businesses, and state agencies that acquire, own, or license personal information about the citizens of the State of Arkansas to provide reasonable security for the information"")
i2=Information(s2, e2)",['#information']
"4-110-103. Definitions.
As used in this chapter:
(1)
(A) ""Breach of the security of the system"" means unauthorized acquisition of computerized data that compromises the security, confidentiality, or integrity of personal information maintained by a person or business.
(B) ""Breach of the security of the system"" does not include the good faith acquisition of personal information by an employee or agent of the person or business for the legitimate purposes of the person or business if the personal information is not otherwise used or subject to further unauthorized disclosure;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
i = Information(s, Expression(s, ""As used in this chapter:""))
s1 = Section(""(1)"")
s.add_subsection(s1)
d = Definition(s1, Expression(s1, ""Breach of the security of the system""))
s1A = Section(""(A)"")
s1.add_subsection(s1A)
d.meaning.append(Expression(s1A, ""unauthorized acquisition of computerized data that compromises the security, confidentiality, or integrity of personal information maintained by a person or business""))
s1B = Section(""(B)"")
s1.add_subsection(s1B)
d.exclusions.append(Expression(s1B, ""the good faith acquisition of personal information by an employee or agent of the person or business for the legitimate purposes of the person or business if the personal information is not otherwise used or subject to further unauthorized disclosure""))","['#continuation', '#exclusion', '#definition']"
"4-110-103. Definitions.
(2)
(A) ""Business"" means a sole proprietorship, partnership, corporation, association, or other group, however organized and whether or not organized to operate at a profit, including a financial institution organized, chartered, or holding a license or authorization certificate under the law of this state, any other state, the United States, or of any other country or the parent or the subsidiary of a financial institution.
(B) ""Business"" includes:
(i) An entity that destroys records; and
(ii) A state agency;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s2 = Section(""(2)"")
s.add_subsection(s2)
s2A = Section(""(A)"")
s2.add_subsection(s2A)
d = Definition(s2A, Expression(s2A, ""Business""))
e=Expression(s2A, ""a sole proprietorship, partnership, corporation, association, or other group, however organized and whether or not organized to operate at a profit, including a financial institution organized, chartered, or holding a license or authorization certificate under the law of this state, any other state, the United States, or of any other country or the parent or the subsidiary of a financial institution"")
d.meaning.append(e)
s2B = Section(""(B)"")
s2.add_subsection(s2B)
e.includes.append(Expression(s2B, ""An entity that destroys records""))
e.includes.append(Expression(s2B, ""A state agency""))","['#continuation', '#definition']"
"4-110-103. Definitions.
(3) ""Customer"" means an individual who provides personal information to a business for the purpose of purchasing or leasing a product or obtaining a service from the business;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s_3 = Section(""(3)"")
s.add_subsection(s_3)
d = Definition(s_3, Expression(s_3, ""Customer""))
d.meaning.append(Expression(s_3, ""an individual who provides personal information to a business for the purpose of purchasing or leasing a product or obtaining a service from the business""))",['#definition']
"4-110-103. Definitions.
(4) ""Individual"" means a natural person;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s4 = Section(""(4)"")
s.add_subsection(s4)
d = Definition(s4, Expression(s4, ""Individual""))
d.meaning.append(Expression(s4, ""a natural person""))",['#definition']
"4-110-103. Definitions.
(5) ""Medical information"" means any individually identifiable information, in electronic or physical form, regarding the individual's medical history or medical treatment or diagnosis by a healthcare professional;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s5 = Section(""(5)"")
s.add_subsection(s5)
d = Definition(s5, Expression(s5, ""Medical information""))
d.meaning.append(Expression(s5, ""any individually identifiable information, in electronic or physical form, regarding the individual's medical history or medical treatment or diagnosis by a healthcare professional""))",['#definition']
"4-110-103. Definitions.
(6) ""Owns or licenses"" includes, but is not limited to, personal information that a business retains as part of the internal customer account of the business or for the purpose of using the information in transactions with the person to whom the information relates;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s1 = Section(sectionNumber=""(6)"")
s.add_subsection(s1)
d = Definition(s1, Expression(s1, ""Owns or licenses""))
d.meaning.append(Expression(s1, ""includes, but is not limited to, personal information that a business retains as part of the internal customer account of the business or for the purpose of using the information in transactions with the person to whom the information relates""))",['#definition']
"4-110-103. Definitions.
(7) ""Personal information"" means an individual's first name or first initial and his or her last name in combination with any one (1) or more of the following data elements when either the name or the data element is not encrypted or redacted:
(A) Social Security number;
(B) Driver's license number or Arkansas identification card number;
(C) Account number, credit card number, or debit card number in combination with any required security code, access code, or password that would permit access to an individual's financial account;
(D) Medical information; and
(E)
(i) Biometric data.
(ii) As used in this subdivision (7)(E), ""biometric data"" means data generated by automatic measurements of an individual's biological characteristics, including without limitation:
(a) Fingerprints;
(b) Faceprint;
(c) A retinal or iris scan;
(d) Hand geometry;
(e) Voiceprint analysis;
(f) Deoxyribonucleic acid (DNA); or
(g) Any other unique biological characteristics of an individual if the characteristics are used by the owner or licensee to uniquely authenticate the individual's identity when the individual accesses a system or account;","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s7 = Section(""(7)"")
s.add_subsection(s7)
d = Definition(s7, Expression(s7, ""Personal information""))
e=Expression(s7, ""an individual's first name or first initial and his or her last name in combination with any one (1) or more of the following data elements when either the name or the data element is not encrypted or redacted:"")
d.meaning.append(e)
s7a = Section(""(A)"")
s7.add_subsection(s7a)
e.includes.append(Expression(s7a, ""Social Security number""))
s7b = Section(""(B)"")
s7.add_subsection(s7b)
e.includes.append(Expression(s7b, ""Driver's license number or Arkansas identification card number""))
s7c = Section(""(C)"")
s7.add_subsection(s7c)
e.includes.append(Expression(s7c, ""Account number, credit card number, or debit card number in combination with any required security code, access code, or password that would permit access to an individual's financial account""))
s7d = Section(""(D)"")
s7.add_subsection(s7d)
e.includes.append(Expression(s7d, ""Medical information""))
s7e = Section(""(E)"")
s7.add_subsection(s7e)
s7ei = Section(""(i)"")
s7e.add_subsection(s7ei)
e_biometric = Expression(s7ei, ""Biometric data"")
e.includes.append(e_biometric)
s7eii = Section(""(ii)"")
s7e.add_subsection(s7eii)
d_biometric = Definition(s7eii, e_biometric)
e_biometric_exp=Expression(s7eii, ""data generated by automatic measurements of an individual's biological characteristics, including without limitation:"")
d_biometric.meaning.append(e_biometric_exp)
d_biometric.add_is_followed_by(Expression(s7eii, ""subdivision (7)(E)""))
s7eiia = Section(""(a)"")
s7eii.add_subsection(s7eiia)
e_biometric_exp.includes.append(Expression(s7eiia, ""Fingerprints""))
s7eiib = Section(""(b)"")
s7eii.add_subsection(s7eiib)
e_biometric_exp.includes.append(Expression(s7eiib, ""Faceprint""))
s7eiic = Section(""(c)"")
s7eii.add_subsection(s7eiic)
e_biometric_exp.includes.append(Expression(s7eiic, ""A retinal or iris scan""))
s7eiid = Section(""(d)"")
s7eii.add_subsection(s7eiid)
e_biometric_exp.includes.append(Expression(s7eiid, ""Hand geometry""))
s7eiie = Section(""(e)"")
s7eii.add_subsection(s7eiie)
e_biometric_exp.includes.append(Expression(s7eiie, ""Voiceprint analysis""))
s7eiif = Section(""(f)"")
s7eii.add_subsection(s7eiif)
e_biometric_exp.includes.append(Expression(s7eiif, ""Deoxyribonucleic acid (DNA)""))
s7eiig = Section(""(g)"")
s7eii.add_subsection(s7eiig)
e_biometric_exp.includes.append(Expression(s7eiig, ""Any other unique biological characteristics of an individual if the characteristics are used by the owner or licensee to uniquely authenticate the individual's identity when the individual accesses a system or account""))","['#condition', '#continuation', '#definition', '#followed_by']"
"4-110-103. Definitions.
(8)
(A) ""Records"" means any material that contains sensitive personal information in electronic form.
(B) ""Records"" does not include any publicly available directories containing information an individual has voluntarily consented to have publicly disseminated or listed, such as name, address, or telephone number; and
(9) ""State agencies"" or ""state agency"" means any agency, institution, authority, department, board, commission, bureau, council, or other agency of the State of Arkansas supported by cash funds or the appropriation of state or federal funds.","s = Section(sectionNumber=""4-110-103"", sectionTitle=""Definitions"")
s8 = Section(""(8)"")
s.add_subsection(s8)
d1 = Definition(s8, Expression(s8, ""Records""))
s8A=Section(""(A)"")
s8.add_subsection(s8A)
d1.meaning.append(Expression(s8A, ""any material that contains sensitive personal information in electronic form""))
s8B=Section(""(B)"")
s8.add_subsection(s8B)
d1.exclusions.append(Expression(s8B, ""any publicly available directories containing information an individual has voluntarily consented to have publicly disseminated or listed, such as name, address, or telephone number""))
s9 = Section(""(9)"")
s.add_subsection(s9)
d2 = Definition(s9, Expression(s9, ""State agencies or state agency""))
d2.meaning.append(Expression(s9, ""any agency, institution, authority, department, board, commission, bureau, council, or other agency of the State of Arkansas supported by cash funds or the appropriation of state or federal funds""))","['#exclusion', '#definition']"
